Medida;Latitude;Longitude;Altitude;Distancia_3D_m;RSSI_DL_medido;RSSI_DL_previsto_shadowing
1;-23.005364;-46.835365;767.9;13.51;-40.0;-40.0
2;-23.005363;-46.835365;767.9;13.61;-39.0;-40.09
3;-23.005362;-46.835365;768.0;13.65;-38.0;-40.13
4;-23.005358;-46.835364;768.2;13.92;-38.0;-40.39
5;-23.005355;-46.835363;768.5;14.06;-39.0;-40.52
6;-23.00535;-46.835362;769.4;14.15;-38.0;-40.6
7;-23.005341;-46.835359;770.5;14.68;-38.0;-41.07
8;-23.005332;-46.835357;770.9;15.52;-39.0;-41.8
9;-23.005332;-46.835357;771.6;15.33;-39.0;-41.64
10;-23.00533;-46.835354;771.8;15.52;-39.0;-41.81
11;-23.005326;-46.835352;772.2;15.89;-38.0;-42.11
12;-23.005321;-46.835349;772.7;16.38;-38.0;-42.51
13;-23.005321;-46.835346;772.7;16.42;-39.0;-42.54
14;-23.005318;-46.835345;773.5;16.65;-39.0;-42.72
15;-23.005312;-46.835341;773.8;17.34;-39.0;-43.25
16;-23.005303;-46.835335;775.0;18.37;-39.0;-44.0
17;-23.005295;-46.835328;776.4;19.41;-39.0;-44.72
18;-23.005291;-46.835321;777.2;20.07;-39.0;-45.15
19;-23.005273;-46.835312;780.2;22.67;-39.0;-46.74
20;-23.00527;-46.835306;781.1;23.36;-38.0;-47.13
21;-23.005257;-46.835297;783.4;25.59;-39.0;-48.32
22;-23.005238;-46.835285;786.8;29.03;-39.0;-49.96
23;-23.00522;-46.835283;789.5;31.94;-39.0;-51.21
24;-23.005192;-46.835279;794.2;36.9;-39.0;-53.09
25;-23.005155;-46.835275;800.1;43.51;-39.0;-55.23
26;-23.005138;-46.835272;802.6;46.5;-39.0;-56.1
27;-23.005127;-46.835272;803.5;47.99;-39.0;-56.51
28;-23.005101;-46.835267;806.5;52.12;-39.0;-57.59
29;-23.005106;-46.835271;805.5;51.01;-40.0;-57.31
30;-23.005135;-46.835279;801.9;46.21;-40.0;-56.02
31;-23.005144;-46.835282;800.5;44.56;-41.0;-55.54
32;-23.00515;-46.835285;799.9;43.62;-41.0;-55.27
33;-23.005144;-46.835284;800.3;44.4;-41.0;-55.5
34;-23.005156;-46.835288;798.6;42.3;-40.0;-54.87
35;-23.005173;-46.835294;796.5;39.5;-40.0;-53.97
36;-23.005191;-46.8353;794.2;36.51;-41.0;-52.95
37;-23.005202;-46.835304;792.8;34.69;-40.0;-52.28
38;-23.005207;-46.835305;792.1;33.86;-42.0;-51.96
39;-23.00521;-46.835306;791.6;33.31;-40.0;-51.75
40;-23.005216;-46.835308;790.6;32.22;-40.0;-51.32
41;-23.005227;-46.835312;789.1;30.39;-40.0;-50.56
42;-23.005237;-46.835316;787.6;28.67;-41.0;-49.8
43;-23.005265;-46.835327;783.7;24.14;-41.0;-47.56
44;-23.00528;-46.835335;781.9;21.87;-40.0;-46.27
45;-23.005285;-46.835338;780.8;20.99;-41.0;-45.74
46;-23.005292;-46.835343;779.2;19.8;-41.0;-44.98
47;-23.005306;-46.835349;777.2;17.9;-40.0;-43.66
48;-23.005325;-46.835357;775.5;15.62;-40.0;-41.89
49;-23.005324;-46.835358;775.2;15.73;-38.0;-41.98
50;-23.005334;-46.835363;774.6;14.61;-40.0;-41.01
51;-23.00533;-46.835362;773.6;15.14;-39.0;-41.48
52;-23.005343;-46.835367;773.0;13.78;-40.0;-40.25
53;-23.00534;-46.835367;772.9;14.13;-42.0;-40.58
54;-23.005342;-46.835369;771.7;14.17;-40.0;-40.62
55;-23.005337;-46.835369;771.2;14.84;-40.0;-41.22
56;-23.005334;-46.83537;770.5;15.37;-40.0;-41.68
57;-23.005333;-46.835371;770.7;15.41;-40.0;-41.71
58;-23.005329;-46.835373;770.4;15.93;-40.0;-42.14
59;-23.00533;-46.835374;771.5;15.52;-40.0;-41.8
60;-23.005325;-46.835424;770.0;17.38;-51.5;-43.28
61;-23.00529;-46.835487;769.6;23.57;-49.5;-47.25
62;-23.00524;-46.835614;766.9;36.36;-63.5;-52.89
63;-23.005211;-46.835702;766.9;45.0;-62.5;-55.67
64;-23.00518;-46.835755;766.8;51.29;-71.0;-57.38
65;-23.005178;-46.835762;767.5;51.87;-65.5;-57.52
66;-23.005172;-46.835782;767.4;53.89;-63.5;-58.02
67;-23.005145;-46.835876;767.1;63.38;-73.0;-60.13
68;-23.005123;-46.835927;766.7;69.08;-65.5;-61.26
69;-23.005099;-46.835995;766.2;76.37;-67.5;-62.56
70;-23.005097;-46.835997;766.6;76.62;-68.5;-62.61
71;-23.005087;-46.836003;766.6;77.73;-68.5;-62.79
72;-23.00509;-46.836002;767.5;77.37;-70.0;-62.73
73;-23.005098;-46.836001;767.9;76.76;-71.0;-62.63
74;-23.005101;-46.836005;769.2;76.82;-68.5;-62.64
75;-23.005101;-46.836005;769.2;76.82;-68.5;-62.64
76;-23.005101;-46.836005;769.2;76.82;-68.5;-62.64
77;-23.0051;-46.836012;771.4;77.34;-70.0;-62.73
78;-23.005102;-46.836012;771.5;77.22;-70.0;-62.71
79;-23.005103;-46.836009;771.3;76.91;-68.5;-62.65
80;-23.005103;-46.836008;771.1;76.83;-68.5;-62.64
81;-23.005104;-46.836009;770.9;76.87;-68.5;-62.65
82;-23.005103;-46.836011;770.5;77.13;-68.5;-62.69
83;-23.005103;-46.836011;771.4;77.08;-71.0;-62.68
84;-23.005101;-46.836012;770.8;77.31;-70.0;-62.72
85;-23.005093;-46.836015;769.5;78.13;-70.0;-62.86
86;-23.00509;-46.836016;769.2;78.41;-72.0;-62.91
87;-23.005082;-46.836016;769.2;78.89;-70.0;-62.99
88;-23.005076;-46.836018;769.0;79.44;-70.0;-63.08
89;-23.005067;-46.836017;768.1;79.98;-68.5;-63.17
90;-23.005067;-46.836017;768.1;79.98;-68.5;-63.17
91;-23.00506;-46.836009;768.9;79.67;-68.5;-63.12
92;-23.005055;-46.836007;768.4;79.86;-70.0;-63.15
93;-23.005051;-46.836007;764.1;80.61;-67.5;-63.27
94;-23.005051;-46.836008;763.5;80.78;-68.5;-63.29
95;-23.005054;-46.836008;763.1;80.65;-68.5;-63.27
96;-23.005045;-46.836007;761.1;81.46;-68.5;-63.4
97;-23.005038;-46.836006;758.8;82.26;-68.5;-63.53
98;-23.005037;-46.836008;758.5;82.55;-68.5;-63.58
99;-23.005034;-46.836009;757.6;83.01;-68.5;-63.65
100;-23.005031;-46.83601;756.6;83.51;-70.0;-63.73
101;-23.00503;-46.836011;755.9;83.81;-68.5;-63.78
102;-23.005031;-46.836013;754.9;84.14;-72.0;-63.83
103;-23.005056;-46.836044;755.2;85.06;-65.5;-63.97
104;-23.005058;-46.836135;757.5;92.19;-81.5;-65.02
105;-23.005036;-46.836196;758.1;98.6;-72.0;-65.89
106;-23.004977;-46.836341;756.1;114.87;-73.0;-67.88
107;-23.004933;-46.836466;754.8;128.48;-73.0;-69.34
108;-23.004892;-46.836573;753.9;140.29;-71.0;-70.49
109;-23.004855;-46.836678;753.0;151.74;-76.0;-71.51
110;-23.004832;-46.836736;751.2;158.39;-74.0;-72.07
111;-23.00483;-46.836738;751.2;158.67;-74.0;-72.09
112;-23.004827;-46.836741;750.3;159.23;-74.0;-72.14
113;-23.004822;-46.836743;749.6;159.77;-72.0;-72.18
114;-23.004817;-46.836742;749.3;159.98;-78.5;-72.2
115;-23.004808;-46.836744;748.5;160.74;-76.0;-72.26
116;-23.004806;-46.836743;748.3;160.79;-76.0;-72.26
117;-23.004803;-46.836742;747.8;160.93;-74.0;-72.28
118;-23.0048;-46.836741;747.4;161.07;-74.0;-72.29
119;-23.004799;-46.83674;747.5;161.01;-74.0;-72.28
120;-23.004802;-46.836739;747.9;160.7;-74.0;-72.26
121;-23.004804;-46.836738;748.5;160.41;-74.0;-72.23
122;-23.004805;-46.836736;748.8;160.13;-74.0;-72.21
123;-23.004805;-46.836736;748.9;160.11;-74.0;-72.21
124;-23.004805;-46.836736;748.6;160.16;-74.0;-72.21
125;-23.004803;-46.836736;747.9;160.38;-74.0;-72.23
126;-23.004801;-46.836738;747.1;160.8;-73.0;-72.26
127;-23.004799;-46.836738;746.2;161.06;-74.0;-72.29
128;-23.004798;-46.836738;745.8;161.19;-74.0;-72.3
129;-23.004796;-46.836738;745.2;161.4;-74.0;-72.31
130;-23.004795;-46.836737;745.0;161.4;-74.0;-72.31
131;-23.004799;-46.83674;744.0;161.65;-75.0;-72.33
132;-23.004797;-46.836739;743.7;161.73;-75.0;-72.34
133;-23.004798;-46.836738;743.8;161.57;-74.0;-72.33
134;-23.004798;-46.836738;743.8;161.57;-74.0;-72.33
135;-23.004804;-46.836734;744.6;160.75;-74.0;-72.26
136;-23.004804;-46.836732;744.8;160.54;-75.0;-72.24
137;-23.004802;-46.83673;744.9;160.44;-75.0;-72.24
138;-23.004802;-46.836729;745.0;160.33;-74.0;-72.23
139;-23.004803;-46.836727;745.7;159.97;-75.0;-72.2
140;-23.004804;-46.836725;746.0;159.69;-74.0;-72.17
141;-23.004805;-46.836723;746.6;159.35;-74.0;-72.15
142;-23.004801;-46.83672;746.6;159.29;-74.0;-72.14
143;-23.004797;-46.836718;746.5;159.34;-73.0;-72.15
144;-23.004794;-46.836716;746.4;159.33;-75.0;-72.15
145;-23.004787;-46.836712;746.2;159.38;-75.0;-72.15
146;-23.00478;-46.836708;746.1;159.42;-74.0;-72.15
147;-23.004778;-46.836707;745.9;159.47;-73.0;-72.16
148;-23.004772;-46.836708;745.5;159.96;-72.0;-72.2
149;-23.00477;-46.836721;745.5;161.2;-70.0;-72.3
150;-23.004769;-46.836763;746.2;164.83;-73.0;-72.59
151;-23.004772;-46.836867;746.7;173.89;-78.5;-73.28
152;-23.004756;-46.836974;747.7;184.21;-81.5;-74.04
153;-23.00474;-46.837033;748.3;190.28;-84.5;-74.46
154;-23.0047;-46.837203;748.3;207.77;-86.0;-75.6
155;-23.004678;-46.837301;748.0;217.88;-86.0;-76.22
156;-23.004649;-46.837403;748.5;228.59;-84.5;-76.85
157;-23.004617;-46.837518;748.4;240.74;-90.0;-77.52
158;-23.0046;-46.837564;749.5;245.66;-87.0;-77.79
159;-23.004563;-46.837644;750.5;254.66;-90.0;-78.25
160;-23.004561;-46.837656;750.9;255.83;-92.0;-78.31
161;-23.00456;-46.837656;750.8;255.88;-97.5;-78.32
162;-23.004558;-46.837654;751.4;255.73;-89.0;-78.31
163;-23.004556;-46.837653;751.7;255.69;-91.0;-78.31
164;-23.004553;-46.837653;751.8;255.82;-91.0;-78.31
165;-23.004552;-46.837653;752.1;255.83;-99.0;-78.31
166;-23.004551;-46.837653;752.2;255.87;-90.0;-78.32
167;-23.004544;-46.837682;753.0;258.82;-95.0;-78.47
168;-23.004528;-46.837734;753.6;264.34;-91.0;-78.74
169;-23.004517;-46.837785;754.2;269.55;-90.0;-79.0
170;-23.004495;-46.837879;754.6;279.31;-87.0;-79.46
171;-23.004467;-46.837978;754.4;289.84;-88.0;-79.94
172;-23.004467;-46.837978;754.4;289.84;-88.0;-79.94
173;-23.004467;-46.837978;754.4;289.84;-88.0;-79.94
174;-23.004323;-46.838467;754.3;342.12;-92.5;-82.1
175;-23.004296;-46.838559;754.6;351.95;-95.0;-82.47
176;-23.00428;-46.838617;755.2;358.07;-92.5;-82.7
177;-23.004242;-46.838741;756.2;371.36;-95.0;-83.17
178;-23.004198;-46.838906;759.1;388.71;-102.0;-83.76
179;-23.004198;-46.838906;759.1;388.71;-102.0;-83.76
180;-23.004126;-46.839132;758.0;413.2;-98.0;-84.56
181;-23.004103;-46.839199;756.6;420.57;-96.0;-84.79
182;-23.004103;-46.839199;756.6;420.57;-96.0;-84.79
183;-23.004034;-46.839426;757.7;444.94;-98.5;-85.53
184;-23.004001;-46.839544;758.1;457.51;-97.0;-85.89
185;-23.003976;-46.839629;759.0;466.59;-97.5;-86.14
186;-23.003934;-46.839737;759.6;478.55;-99.0;-86.47
187;-23.003903;-46.839825;761.3;488.14;-103.5;-86.73
188;-23.003881;-46.839908;761.9;496.93;-101.0;-86.96
189;-23.003856;-46.839997;762.0;506.43;-105.0;-87.21
190;-23.003831;-46.840062;761.6;513.64;-109.0;-87.4
191;-23.003802;-46.840144;762.4;522.61;-112.0;-87.62
192;-23.003778;-46.840226;762.8;531.39;-105.0;-87.84
193;-23.003778;-46.840226;762.8;531.39;-105.0;-87.84
194;-23.003778;-46.840226;762.8;531.39;-105.0;-87.84
195;-23.003554;-46.841022;761.1;616.45;-110.5;-89.77
196;-23.003554;-46.841022;761.1;616.45;-110.5;-89.77
197;-23.003554;-46.841022;761.1;616.45;-110.5;-89.77
198;-23.003554;-46.841022;761.1;616.45;-110.5;-89.77
199;-23.003554;-46.841022;761.1;616.45;-110.5;-89.77
200;-23.003554;-46.841022;761.1;616.45;-110.5;-89.77
201;-23.003554;-46.841022;761.1;616.45;-110.5;-89.77
202;-23.003554;-46.841022;761.1;616.45;-110.5;-89.77
203;-23.003554;-46.841022;761.1;616.45;-110.5;-89.77
