Time stamp;medida;luminosidade;luminosidade_media_movel
05/07/2026 20:53:43;1;1974.0;1974.0
05/07/2026 20:53:44;2;1971.0;1972.5
05/07/2026 20:53:46;3;1970.0;1971.67
05/07/2026 20:53:47;4;1971.0;1971.5
05/07/2026 20:53:48;5;1968.0;1970.8
05/07/2026 20:53:49;6;1968.0;1970.33
05/07/2026 20:53:51;7;1967.0;1969.86
05/07/2026 20:53:52;8;1978.0;1970.88
05/07/2026 20:53:53;9;1968.0;1970.56
05/07/2026 20:53:54;10;1970.0;1970.5
05/07/2026 20:53:56;11;1968.0;1969.9
05/07/2026 20:53:57;12;1969.0;1969.7
05/07/2026 20:53:58;13;1976.0;1970.3
05/07/2026 20:54:00;14;1970.0;1970.2
05/07/2026 20:54:03;15;1970.0;1970.4
05/07/2026 20:54:04;16;1982.0;1971.8
05/07/2026 20:54:08;17;1982.0;1973.3
05/07/2026 20:54:09;18;1970.0;1972.5
05/07/2026 20:54:10;19;1970.0;1972.7
05/07/2026 20:54:11;20;1967.0;1972.4
05/07/2026 20:54:13;21;1968.0;1972.4
05/07/2026 20:54:14;22;1975.0;1973.0
05/07/2026 20:54:15;23;1983.0;1973.7
05/07/2026 20:54:18;24;1983.0;1975.0
05/07/2026 20:54:19;25;1975.0;1975.5
05/07/2026 20:54:20;26;1980.0;1975.3
05/07/2026 20:54:22;27;1975.0;1974.6
05/07/2026 20:54:23;28;1969.0;1974.5
05/07/2026 20:54:24;29;1979.0;1975.4
05/07/2026 20:54:25;30;1970.0;1975.7
05/07/2026 20:54:27;31;1970.0;1975.9
05/07/2026 20:54:28;32;1970.0;1975.4
05/07/2026 20:54:29;33;1968.0;1973.9
05/07/2026 20:54:30;34;1976.0;1973.2
05/07/2026 20:54:31;35;1968.0;1972.5
05/07/2026 20:54:33;36;1968.0;1971.3
05/07/2026 20:54:36;37;1968.0;1970.6
05/07/2026 20:54:37;38;1982.0;1971.9
05/07/2026 20:54:39;39;1969.0;1970.9
05/07/2026 20:54:40;40;1971.0;1971.0
05/07/2026 20:54:41;41;1983.0;1972.3
05/07/2026 20:54:43;42;1971.0;1972.4
05/07/2026 20:54:44;43;1967.0;1972.3
05/07/2026 20:54:46;44;1968.0;1971.5
05/07/2026 20:54:47;45;1968.0;1971.5
05/07/2026 20:54:48;46;1968.0;1971.5
05/07/2026 20:54:49;47;1972.0;1971.9
05/07/2026 20:54:51;48;1975.0;1971.2
05/07/2026 20:54:52;49;1977.0;1972.0
05/07/2026 20:54:53;50;1970.0;1971.9
05/07/2026 20:54:54;51;1969.0;1970.5
05/07/2026 20:54:56;52;1968.0;1970.2
05/07/2026 20:54:57;53;1973.0;1970.8
05/07/2026 20:54:58;54;1968.0;1970.8
05/07/2026 20:55:00;55;1968.0;1970.8
05/07/2026 20:55:01;56;1968.0;1970.8
05/07/2026 20:55:03;57;1968.0;1970.4
05/07/2026 20:55:04;58;1968.0;1969.7
05/07/2026 20:55:05;59;1969.0;1968.9
05/07/2026 20:55:06;60;1969.0;1968.8
05/07/2026 20:55:08;61;1969.0;1968.8
05/07/2026 20:55:09;62;1968.0;1968.8
05/07/2026 20:55:10;63;1982.0;1969.7
05/07/2026 20:55:12;64;1968.0;1969.7
05/07/2026 20:55:13;65;1968.0;1969.7
05/07/2026 20:55:14;66;1980.0;1970.9
05/07/2026 20:55:15;67;1969.0;1971.0
05/07/2026 20:55:16;68;1968.0;1971.0
05/07/2026 20:55:18;69;1966.0;1970.7
05/07/2026 20:55:19;70;1968.0;1970.6
05/07/2026 20:55:20;71;1981.0;1971.8
05/07/2026 20:55:21;72;1968.0;1971.8
05/07/2026 20:55:22;73;1968.0;1970.4
05/07/2026 20:55:24;74;1968.0;1970.4
05/07/2026 20:55:25;75;1971.0;1970.7
05/07/2026 20:55:26;76;1973.0;1970.0
05/07/2026 20:55:27;77;1971.0;1970.2
05/07/2026 20:55:29;78;1968.0;1970.2
05/07/2026 20:55:30;79;1970.0;1970.6
05/07/2026 20:55:31;80;1967.0;1970.5
05/07/2026 20:55:32;81;1967.0;1969.1
05/07/2026 20:55:33;82;1968.0;1969.1
05/07/2026 20:55:35;83;1967.0;1969.0
05/07/2026 20:55:36;84;1967.0;1968.9
05/07/2026 20:55:37;85;1980.0;1969.8
05/07/2026 20:55:38;86;1967.0;1969.2
05/07/2026 20:55:39;87;1967.0;1968.8
05/07/2026 20:55:41;88;1967.0;1968.7
05/07/2026 20:55:42;89;1969.0;1968.6
05/07/2026 20:55:43;90;1969.0;1968.8
05/07/2026 20:55:44;91;1968.0;1968.9
05/07/2026 20:55:45;92;1973.0;1969.4
05/07/2026 20:55:47;93;1970.0;1969.7
05/07/2026 20:55:48;94;1971.0;1970.1
05/07/2026 20:55:49;95;1968.0;1968.9
