Medida;Latitude;Longitude;Altitude;Distancia_3D_m;RSSI_DL_medido;RSSI_DL_previsto_shadowing
99;-23.005177;-46.835737;756.9;52.71;-67.5;-56.29
100;-23.005179;-46.835738;757.2;52.55;-72.0;-56.25
101;-23.005179;-46.835739;757.3;52.59;-71.0;-56.26
102;-23.00518;-46.835739;757.4;52.49;-72.0;-56.24
103;-23.005181;-46.835739;757.4;52.42;-72.0;-56.22
104;-23.005182;-46.835738;757.5;52.24;-73.0;-56.18
105;-23.005183;-46.835738;757.4;52.21;-66.5;-56.17
106;-23.005183;-46.835738;757.0;52.35;-67.5;-56.2
107;-23.005181;-46.835735;757.3;52.16;-66.5;-56.15
108;-23.005173;-46.835774;757.5;55.54;-62.5;-56.97
109;-23.005113;-46.836005;757.5;77.95;-67.5;-61.39
110;-23.005041;-46.836228;757.9;101.2;-78.5;-64.79
111;-23.00499;-46.836335;755.9;113.69;-73.0;-66.31
112;-23.004978;-46.836373;755.4;117.78;-74.0;-66.77
113;-23.004979;-46.836383;753.1;119.03;-72.0;-66.9
114;-23.004975;-46.836394;750.6;120.7;-72.0;-67.09
115;-23.004971;-46.836397;749.5;121.4;-72.0;-67.16
116;-23.004967;-46.8364;748.5;122.08;-72.0;-67.23
117;-23.004965;-46.836402;748.0;122.47;-72.0;-67.28
118;-23.004966;-46.836402;747.6;122.51;-73.0;-67.28
119;-23.004965;-46.836402;747.7;122.54;-73.0;-67.28
120;-23.004965;-46.836402;747.4;122.61;-72.0;-67.29
121;-23.004965;-46.836402;747.2;122.65;-72.0;-67.29
122;-23.004968;-46.836404;746.6;122.82;-72.0;-67.31
123;-23.004972;-46.836406;746.1;122.91;-72.0;-67.32
124;-23.004978;-46.836411;745.2;123.28;-72.0;-67.36
125;-23.004982;-46.836414;744.3;123.57;-73.0;-67.39
126;-23.004986;-46.836418;743.5;123.94;-72.0;-67.43
127;-23.00499;-46.836421;742.7;124.22;-72.0;-67.46
128;-23.004993;-46.836424;742.3;124.45;-74.0;-67.48
129;-23.004994;-46.836425;741.9;124.6;-72.0;-67.5
130;-23.004996;-46.836427;741.4;124.82;-73.0;-67.52
131;-23.004996;-46.836426;741.6;124.68;-71.0;-67.51
132;-23.004998;-46.836428;741.8;124.71;-72.0;-67.51
133;-23.004998;-46.83643;742.1;124.8;-72.0;-67.52
134;-23.005002;-46.836429;742.6;124.4;-72.0;-67.48
135;-23.005;-46.836428;742.8;124.35;-74.0;-67.47
136;-23.004999;-46.836427;742.9;124.28;-72.0;-67.47
137;-23.005;-46.836426;743.7;123.94;-71.0;-67.43
138;-23.005;-46.836424;743.9;123.71;-72.0;-67.41
139;-23.004999;-46.836419;744.5;123.16;-72.0;-67.35
140;-23.005;-46.836416;744.7;122.79;-74.0;-67.31
141;-23.005004;-46.836412;744.8;122.22;-72.0;-67.25
142;-23.005007;-46.83641;744.1;122.08;-73.0;-67.23
143;-23.005009;-46.836409;743.7;122.0;-73.0;-67.23
144;-23.00501;-46.836407;743.1;121.94;-75.0;-67.22
145;-23.005014;-46.836407;742.3;121.97;-73.0;-67.22
146;-23.005015;-46.836406;742.5;121.78;-73.0;-67.2
147;-23.005016;-46.836403;742.8;121.38;-74.0;-67.16
148;-23.005016;-46.8364;743.1;121.04;-71.0;-67.12
149;-23.005015;-46.836397;743.6;120.68;-71.0;-67.08
150;-23.005016;-46.836396;743.6;120.55;-72.0;-67.07
151;-23.005015;-46.836393;744.1;120.19;-72.0;-67.03
152;-23.005011;-46.83639;744.9;119.91;-74.0;-67.0
153;-23.005011;-46.836389;745.1;119.77;-72.0;-66.98
154;-23.005009;-46.836388;745.6;119.65;-75.0;-66.97
155;-23.005006;-46.836385;746.4;119.32;-74.0;-66.94
156;-23.005001;-46.836381;747.1;119.04;-74.0;-66.91
157;-23.005002;-46.836381;747.1;118.99;-74.0;-66.9
158;-23.005003;-46.836382;746.5;119.18;-75.0;-66.92
159;-23.005002;
