Time stamp;medida_atual;RSSI_DL;RSSI_UL;Perdas;PSR;Max_DL;Min_DL;Max_UL;Min_UL;valor_atual_spreadingfactor;valor_atual_bandwidth;valor_atual_codingrate;valor_atual_potencia_radio;taxa_canal_teorica;taxa_canal_calculada;snr_DL;snr_UL;contador_DL;contador_UL;perda_total;LSS_status
23/06/2026 23:03:47;1;-71.0;-72.0;0;100.0;-71.0;-71.0;-72.0;-72.0;12;125;8;20;183.10546875;183.10546875;11.25;10.0;1;1;0;1
23/06/2026 23:03:55;2;-70.0;-72.0;0;100.0;-70.0;-71.0;-72.0;-72.0;12;125;8;20;183.10546875;183.10546875;11.5;10.75;2;2;0;1
23/06/2026 23:04:03;3;-70.0;-71.0;0;100.0;-70.0;-71.0;-71.0;-72.0;12;125;8;20;183.10546875;183.10546875;10.25;12.25;3;3;0;1
23/06/2026 23:04:11;4;-70.0;-72.0;0;100.0;-70.0;-71.0;-71.0;-72.0;12;125;8;20;183.10546875;183.10546875;10.75;10.75;4;4;0;1
23/06/2026 23:04:19;5;-71.0;-72.0;0;100.0;-70.0;-71.0;-71.0;-72.0;12;125;8;20;183.10546875;183.10546875;10.0;11.25;5;5;0;1
23/06/2026 23:04:27;6;-71.0;-72.0;0;100.0;-70.0;-71.0;-71.0;-72.0;12;125;8;20;183.10546875;183.10546875;10.0;10.5;6;6;0;1
23/06/2026 23:04:36;7;-71.0;-72.0;0;100.0;-70.0;-71.0;-71.0;-72.0;12;125;8;20;183.10546875;183.10546875;10.25;9.5;7;7;0;1
23/06/2026 23:04:44;8;-71.0;-73.0;0;100.0;-70.0;-71.0;-71.0;-73.0;12;125;8;20;183.10546875;183.10546875;9.5;9.75;8;8;0;1
23/06/2026 23:04:52;9;-71.0;-73.0;0;100.0;-70.0;-71.0;-71.0;-73.0;12;125;8;20;183.10546875;183.10546875;9.0;10.0;9;9;0;1
23/06/2026 23:05:00;10;-70.0;-73.0;0;100.0;-70.0;-71.0;-71.0;-73.0;12;125;8;20;183.10546875;183.10546875;10.25;9.25;10;10;0;1
