04/07/2026 13:52:58 ; [12, 1, 8, 14, 0, 10, 8, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
04/07/2026 13:53:11 ; [12, 1, 8, 14, 0, 10, 8, 4, 1, 0, 0, 0, 0, 2, 3, 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
04/07/2026 13:53:17 ; [12, 1, 8, 14, 0, 10, 8, 4, 1, 0, 0, 0, 0, 3, 1, 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
04/07/2026 13:53:23 ; [12, 1, 8, 14, 0, 10, 8, 4, 1, 0, 0, 0, 0, 4, 2, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
04/07/2026 13:53:29 ; [12, 1, 8, 14, 0, 10, 8, 4, 1, 0, 0, 0, 0, 5, 2, 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
04/07/2026 13:53:36 ; [12, 1, 8, 14, 0, 10, 8, 4, 1, 0, 0, 0, 0, 6, 3, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
04/07/2026 13:53:42 ; [12, 1, 8, 14, 0, 10, 8, 4, 1, 0, 0, 0, 0, 7, 3, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
04/07/2026 13:53:48 ; [12, 1, 8, 14, 0, 10, 8, 4, 1, 0, 0, 0, 0, 8, 3, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
04/07/2026 13:53:55 ; [12, 1, 8, 14, 0, 10, 8, 4, 1, 0, 0, 0, 0, 9, 3, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
04/07/2026 13:54:01 ; [12, 1, 8, 14, 0, 10, 8, 5, 1, 0, 0, 0, 0, 10, 3, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
