Time stamp;Medida;Luminosidade
23/06/2026 22:39:11;1;242
23/06/2026 22:39:14;2;243
23/06/2026 22:39:17;3;242
23/06/2026 22:39:19;4;264
23/06/2026 22:39:22;5;273
23/06/2026 22:39:25;6;274
23/06/2026 22:39:27;7;270
23/06/2026 22:39:30;8;266
23/06/2026 22:39:33;9;257
23/06/2026 22:39:37;10;257
23/06/2026 22:39:41;11;257
23/06/2026 22:39:46;12;257
23/06/2026 22:39:50;13;257
23/06/2026 22:39:54;14;257
23/06/2026 22:39:58;15;257
23/06/2026 22:40:03;16;257
23/06/2026 22:40:07;17;257
23/06/2026 22:40:11;18;257
23/06/2026 22:40:15;19;257
23/06/2026 22:40:20;20;257
23/06/2026 22:40:24;21;257
23/06/2026 22:40:28;22;257
23/06/2026 22:40:33;23;257
23/06/2026 22:40:37;24;257
23/06/2026 22:40:41;25;257
23/06/2026 22:40:45;26;257
23/06/2026 22:40:50;27;257
23/06/2026 22:40:54;28;257
23/06/2026 22:40:58;29;257
23/06/2026 22:41:03;30;257
23/06/2026 22:41:07;31;257
