Time stamp;Medida;Luminosidade
24/06/2026 00:17:38;1;0
24/06/2026 00:17:41;2;0
24/06/2026 00:17:44;3;0
24/06/2026 00:17:46;4;0
24/06/2026 00:17:49;5;0
24/06/2026 00:17:52;6;0
24/06/2026 00:17:55;7;0
24/06/2026 00:17:57;8;0
24/06/2026 00:18:02;9;0
24/06/2026 00:18:04;10;0
24/06/2026 00:18:07;11;0
24/06/2026 00:18:10;12;0
24/06/2026 00:18:12;13;0
24/06/2026 00:18:15;14;0
24/06/2026 00:18:17;15;0
24/06/2026 00:18:20;16;0
24/06/2026 00:18:23;17;0
24/06/2026 00:18:25;18;0
24/06/2026 00:18:28;19;0
24/06/2026 00:18:30;20;0
24/06/2026 00:18:33;21;0
24/06/2026 00:18:37;22;0
24/06/2026 00:18:40;23;0
24/06/2026 00:18:42;24;0
24/06/2026 00:18:45;25;0
24/06/2026 00:18:48;26;0
24/06/2026 00:18:50;27;0
24/06/2026 00:18:53;28;0
24/06/2026 00:18:55;29;0
24/06/2026 00:18:58;30;0
24/06/2026 00:19:00;31;0
24/06/2026 00:19:03;32;0
24/06/2026 00:19:06;33;0
24/06/2026 00:19:08;34;0
24/06/2026 00:19:11;35;0
24/06/2026 00:19:13;36;0
24/06/2026 00:19:16;37;0
24/06/2026 00:19:19;38;0
24/06/2026 00:19:21;39;0
24/06/2026 00:19:24;40;0
24/06/2026 00:19:27;41;0
24/06/2026 00:19:29;42;0
24/06/2026 00:19:32;43;0
24/06/2026 00:19:35;44;0
24/06/2026 00:19:37;45;0
24/06/2026 00:19:40;46;0
24/06/2026 00:19:44;47;0
24/06/2026 00:19:47;48;0
24/06/2026 00:19:49;49;0
24/06/2026 00:19:52;50;0
24/06/2026 00:19:55;51;0
24/06/2026 00:19:57;52;0
24/06/2026 00:20:00;53;0
24/06/2026 00:20:03;54;0
24/06/2026 00:20:05;55;0
24/06/2026 00:20:08;56;0
24/06/2026 00:20:10;57;0
24/06/2026 00:20:13;58;0
24/06/2026 00:20:17;59;0
24/06/2026 00:20:19;60;0
24/06/2026 00:20:22;61;0
24/06/2026 00:20:24;62;0
24/06/2026 00:20:27;63;0
24/06/2026 00:20:30;64;0
24/06/2026 00:20:33;65;0
24/06/2026 00:20:35;66;0
24/06/2026 00:20:38;67;0
24/06/2026 00:20:41;68;0
24/06/2026 00:20:43;69;0
24/06/2026 00:20:46;70;0
24/06/2026 00:20:48;71;0
24/06/2026 00:20:51;72;0
24/06/2026 00:20:54;73;0
24/06/2026 00:20:56;74;0
24/06/2026 00:20:59;75;0
24/06/2026 00:21:02;76;0
24/06/2026 00:21:04;77;0
24/06/2026 00:21:07;78;0
24/06/2026 00:21:09;79;0
24/06/2026 00:21:12;80;0
24/06/2026 00:21:15;81;0
24/06/2026 00:21:17;82;0
24/06/2026 00:21:20;83;0
24/06/2026 00:21:23;84;0
24/06/2026 00:21:25;85;0
24/06/2026 00:21:28;86;0
24/06/2026 00:21:31;87;0
24/06/2026 00:21:33;88;0
24/06/2026 00:21:37;89;0
24/06/2026 00:21:39;90;0
24/06/2026 00:21:42;91;0
24/06/2026 00:21:45;92;0
24/06/2026 00:21:47;93;0
24/06/2026 00:21:50;94;0
24/06/2026 00:21:53;95;0
24/06/2026 00:21:55;96;0
24/06/2026 00:21:58;97;0
24/06/2026 00:22:00;98;0
24/06/2026 00:22:03;99;0
24/06/2026 00:22:05;100;0
