Time stamp;medida;luminosidade;luminosidade_media_movel
27/06/2026 10:37:47;1;963.0;963.0
27/06/2026 10:37:49;2;954.0;958.5
27/06/2026 10:37:51;3;955.0;957.33
27/06/2026 10:37:53;4;970.0;960.5
27/06/2026 10:37:55;5;949.0;958.2
27/06/2026 10:37:57;6;969.0;960.0
27/06/2026 10:37:59;7;970.0;961.43
27/06/2026 10:38:01;8;967.0;962.12
27/06/2026 10:38:03;9;972.0;963.22
27/06/2026 10:38:05;10;965.0;963.4
27/06/2026 10:38:07;11;968.0;963.9
27/06/2026 10:38:09;12;953.0;963.8
27/06/2026 10:38:11;13;966.0;964.9
27/06/2026 10:38:13;14;953.0;963.2
27/06/2026 10:38:15;15;949.0;963.2
27/06/2026 10:38:17;16;953.0;961.6
27/06/2026 10:38:19;17;946.0;959.2
27/06/2026 10:38:21;18;957.0;958.2
27/06/2026 10:38:23;19;948.0;955.8
27/06/2026 10:38:25;20;949.0;954.2
27/06/2026 10:38:27;21;944.0;951.8
27/06/2026 10:38:29;22;944.0;950.9
27/06/2026 10:38:31;23;945.0;948.8
27/06/2026 10:38:33;24;945.0;948.0
27/06/2026 10:38:37;25;945.0;947.6
27/06/2026 10:38:39;26;944.0;946.7
27/06/2026 10:38:41;27;945.0;946.6
27/06/2026 10:38:43;28;946.0;945.5
27/06/2026 10:38:45;29;947.0;945.4
27/06/2026 10:38:47;30;944.0;944.9
27/06/2026 10:38:49;31;944.0;944.9
27/06/2026 10:38:51;32;944.0;944.9
27/06/2026 10:38:53;33;944.0;944.8
27/06/2026 10:38:55;34;943.0;944.6
27/06/2026 10:38:57;35;944.0;944.5
27/06/2026 10:38:59;36;944.0;944.5
27/06/2026 10:39:01;37;944.0;944.4
27/06/2026 10:39:05;38;944.0;944.2
27/06/2026 10:39:07;39;942.0;943.7
27/06/2026 10:39:09;40;944.0;943.7
27/06/2026 10:39:11;41;943.0;943.6
27/06/2026 10:39:13;42;942.0;943.4
27/06/2026 10:39:15;43;941.0;943.1
27/06/2026 10:39:18;44;941.0;942.9
27/06/2026 10:39:19;45;943.0;942.8
27/06/2026 10:39:22;46;941.0;942.5
27/06/2026 10:39:23;47;941.0;942.2
27/06/2026 10:39:28;48;941.0;941.9
27/06/2026 10:39:29;49;941.0;941.8
27/06/2026 10:39:32;50;939.0;941.3
27/06/2026 10:39:34;51;939.0;940.9
27/06/2026 10:39:36;52;938.0;940.5
27/06/2026 10:39:38;53;939.0;940.3
27/06/2026 10:39:40;54;937.0;939.9
27/06/2026 10:39:42;55;939.0;939.5
27/06/2026 10:39:44;56;938.0;939.2
27/06/2026 10:39:46;57;939.0;939.0
27/06/2026 10:39:48;58;938.0;938.7
