Time stamp;medida_atual;RSSI_DL;RSSI_UL;Perdas;PSR;Max_DL;Min_DL;Max_UL;Min_UL;valor_atual_spreadingfactor;valor_atual_bandwidth;valor_atual_codingrate;valor_atual_potencia_radio;taxa_canal_teorica;taxa_canal_calculada;snr_DL;snr_UL;contador_DL;contador_UL;perda_total;LSS_status
27/06/2026 11:40:45;1;-73.0;-73.0;0;100.0;-73.0;-73.0;-73.0;-73.0;7;500;5;17;21875.0;21875.0;6.0;5.75;1;1;0;1
27/06/2026 11:40:47;2;-73.0;-73.0;0;100.0;-73.0;-73.0;-73.0;-73.0;7;500;5;17;21875.0;21875.0;5.75;5.75;2;2;0;1
27/06/2026 11:40:49;3;-73.0;-73.0;0;100.0;-73.0;-73.0;-73.0;-73.0;7;500;5;17;21875.0;21875.0;6.0;6.0;3;3;0;1
27/06/2026 11:40:51;4;-73.0;-73.0;0;100.0;-73.0;-73.0;-73.0;-73.0;7;500;5;17;21875.0;21875.0;5.25;6.25;4;4;0;1
27/06/2026 11:40:53;5;-73.0;-74.0;0;100.0;-73.0;-73.0;-73.0;-74.0;7;500;5;17;21875.0;21875.0;5.75;5.75;5;5;0;1
27/06/2026 11:40:55;6;-73.0;-73.0;0;100.0;-73.0;-73.0;-73.0;-74.0;7;500;5;17;21875.0;21875.0;5.5;5.75;6;6;0;1
27/06/2026 11:40:57;7;-73.0;-73.0;0;100.0;-73.0;-73.0;-73.0;-74.0;7;500;5;17;21875.0;21875.0;5.5;6.0;7;7;0;1
27/06/2026 11:40:59;8;-73.0;-74.0;0;100.0;-73.0;-73.0;-73.0;-74.0;7;500;5;17;21875.0;21875.0;5.5;6.0;8;8;0;1
27/06/2026 11:41:01;9;-73.0;-73.0;0;100.0;-73.0;-73.0;-73.0;-74.0;7;500;5;17;21875.0;21875.0;6.25;6.0;9;9;0;1
27/06/2026 11:41:03;10;-73.0;-73.0;0;100.0;-73.0;-73.0;-73.0;-74.0;7;500;5;17;21875.0;21875.0;5.75;6.0;10;10;0;1
27/06/2026 11:41:05;11;-74.0;-74.0;0;100.0;-73.0;-74.0;-73.0;-74.0;7;500;5;17;21875.0;21875.0;6.0;6.0;11;11;0;1
27/06/2026 11:41:07;12;-73.0;-73.0;0;100.0;-73.0;-74.0;-73.0;-74.0;7;500;5;17;21875.0;21875.0;5.5;5.75;12;12;0;1
27/06/2026 11:41:09;13;-73.0;-73.0;0;100.0;-73.0;-74.0;-73.0;-74.0;7;500;5;17;21875.0;21875.0;5.75;5.75;13;13;0;1
27/06/2026 11:41:11;14;-73.0;-73.0;0;100.0;-73.0;-74.0;-73.0;-74.0;7;500;5;17;21875.0;21875.0;5.75;5.5;14;14;0;1
27/06/2026 11:41:13;15;-73.0;-73.0;0;100.0;-73.0;-74.0;-73.0;-74.0;7;500;5;17;21875.0;21875.0;5.5;5.5;15;15;0;1
27/06/2026 11:41:17;16;-73.0;-73.0;1;93.75;-73.0;-74.0;-73.0;-74.0;7;500;5;17;21875.0;20507.8125;5.5;5.5;15;15;1;1
27/06/2026 11:41:19;17;-73.0;-73.0;1;94.12;-73.0;-74.0;-73.0;-74.0;7;500;5;17;21875.0;20588.235294117647;5.75;6.0;17;16;1;1
27/06/2026 11:41:21;18;-73.0;-73.0;1;94.44;-73.0;-74.0;-73.0;-74.0;7;500;5;17;21875.0;20659.722222222223;5.5;5.75;18;17;1;1
