Time stamp;Medida;Luminosidade
26/06/2026 23:14:09;1;0
26/06/2026 23:14:11;2;0
26/06/2026 23:14:13;3;0
26/06/2026 23:14:15;4;0
26/06/2026 23:14:17;5;0
26/06/2026 23:14:19;6;0
26/06/2026 23:14:21;7;0
26/06/2026 23:14:23;8;0
26/06/2026 23:14:25;9;0
26/06/2026 23:14:27;10;0
26/06/2026 23:14:29;11;0
26/06/2026 23:14:31;12;0
26/06/2026 23:14:33;13;0
26/06/2026 23:14:35;14;0
26/06/2026 23:14:38;15;0
26/06/2026 23:14:40;16;0
26/06/2026 23:14:42;17;0
26/06/2026 23:14:44;18;0
26/06/2026 23:14:46;19;0
26/06/2026 23:14:48;20;0
26/06/2026 23:14:50;21;0
26/06/2026 23:14:52;22;0
26/06/2026 23:14:54;23;0
26/06/2026 23:14:56;24;0
26/06/2026 23:14:58;25;0
26/06/2026 23:15:00;26;0
26/06/2026 23:15:02;27;0
26/06/2026 23:15:04;28;0
26/06/2026 23:15:06;29;0
26/06/2026 23:15:08;30;0
26/06/2026 23:15:10;31;0
26/06/2026 23:15:12;32;0
26/06/2026 23:15:14;33;0
26/06/2026 23:15:16;34;0
26/06/2026 23:15:19;35;0
26/06/2026 23:15:21;36;0
26/06/2026 23:15:23;37;0
26/06/2026 23:15:25;38;0
26/06/2026 23:15:27;39;0
26/06/2026 23:15:29;40;0
26/06/2026 23:15:31;41;0
26/06/2026 23:15:33;42;0
26/06/2026 23:15:35;43;0
26/06/2026 23:15:37;44;0
26/06/2026 23:15:39;45;0
26/06/2026 23:15:41;46;0
26/06/2026 23:15:43;47;0
26/06/2026 23:15:45;48;0
26/06/2026 23:15:47;49;0
26/06/2026 23:15:49;50;0
26/06/2026 23:15:51;51;0
26/06/2026 23:15:53;52;0
26/06/2026 23:15:55;53;0
26/06/2026 23:15:57;54;0
26/06/2026 23:15:59;55;0
26/06/2026 23:16:01;56;0
26/06/2026 23:16:04;57;0
26/06/2026 23:16:06;58;0
26/06/2026 23:16:08;59;0
26/06/2026 23:16:10;60;0
26/06/2026 23:16:12;61;0
26/06/2026 23:16:14;62;0
26/06/2026 23:16:16;63;0
26/06/2026 23:16:18;64;0
26/06/2026 23:16:20;65;0
26/06/2026 23:16:22;66;0
26/06/2026 23:16:24;67;0
26/06/2026 23:16:26;68;0
26/06/2026 23:16:28;69;0
26/06/2026 23:16:30;70;0
26/06/2026 23:16:32;71;0
26/06/2026 23:16:34;72;0
26/06/2026 23:16:36;73;0
26/06/2026 23:16:38;74;0
26/06/2026 23:16:40;75;0
26/06/2026 23:16:42;76;0
26/06/2026 23:16:44;77;0
26/06/2026 23:16:46;78;0
26/06/2026 23:16:48;79;0
26/06/2026 23:16:50;80;0
26/06/2026 23:16:52;81;0
26/06/2026 23:16:54;82;0
26/06/2026 23:16:56;83;0
26/06/2026 23:16:58;84;0
26/06/2026 23:17:00;85;0
26/06/2026 23:17:02;86;0
26/06/2026 23:17:04;87;0
26/06/2026 23:17:06;88;0
26/06/2026 23:17:08;89;0
26/06/2026 23:17:10;90;0
26/06/2026 23:17:12;91;0
26/06/2026 23:17:14;92;0
26/06/2026 23:17:16;93;0
26/06/2026 23:17:18;94;0
26/06/2026 23:17:20;95;0
26/06/2026 23:17:22;96;0
26/06/2026 23:17:24;97;0
26/06/2026 23:17:26;98;0
26/06/2026 23:17:28;99;0
26/06/2026 23:17:30;100;0
26/06/2026 23:17:32;101;0
26/06/2026 23:17:34;102;0
26/06/2026 23:17:36;103;0
26/06/2026 23:17:38;104;0
26/06/2026 23:17:40;105;0
26/06/2026 23:17:42;106;0
26/06/2026 23:17:44;107;0
26/06/2026 23:17:46;108;0
26/06/2026 23:17:48;109;0
26/06/2026 23:17:50;110;0
26/06/2026 23:17:52;111;0
26/06/2026 23:17:54;112;0
26/06/2026 23:17:56;113;0
26/06/2026 23:17:58;114;0
26/06/2026 23:18:00;115;0
26/06/2026 23:18:02;116;0
26/06/2026 23:18:04;117;0
26/06/2026 23:18:06;118;0
26/06/2026 23:18:08;119;0
26/06/2026 23:18:10;120;0
26/06/2026 23:18:12;121;0
26/06/2026 23:18:14;122;0
26/06/2026 23:18:16;123;0
26/06/2026 23:18:18;124;0
26/06/2026 23:18:20;125;0
26/06/2026 23:18:22;126;0
26/06/2026 23:18:24;127;0
26/06/2026 23:18:26;128;0
26/06/2026 23:18:28;129;0
26/06/2026 23:18:30;130;0
26/06/2026 23:18:32;131;0
26/06/2026 23:18:34;132;0
26/06/2026 23:18:36;133;0
26/06/2026 23:18:38;134;0
26/06/2026 23:18:41;135;0
26/06/2026 23:18:43;136;0
26/06/2026 23:18:45;137;0
26/06/2026 23:18:47;138;0
26/06/2026 23:18:49;139;0
26/06/2026 23:18:51;140;0
26/06/2026 23:18:53;141;0
26/06/2026 23:18:55;142;0
26/06/2026 23:18:57;143;0
26/06/2026 23:19:01;144;0
26/06/2026 23:19:05;145;0
26/06/2026 23:19:09;146;0
26/06/2026 23:19:13;147;0
26/06/2026 23:19:17;148;0
26/06/2026 23:19:21;149;0
26/06/2026 23:19:26;150;0
26/06/2026 23:19:30;151;0
26/06/2026 23:19:35;152;0
