Time stamp;medida;luminosidade;luminosidade_media_movel
27/06/2026 11:19:38;1;452.0;452.0
27/06/2026 11:19:41;2;453.0;452.5
27/06/2026 11:19:42;3;452.0;452.33
27/06/2026 11:19:44;4;451.0;452.0
27/06/2026 11:19:48;5;451.0;451.8
27/06/2026 11:19:52;6;451.0;451.67
27/06/2026 11:19:54;7;451.0;451.57
27/06/2026 11:19:57;8;449.0;451.25
27/06/2026 11:19:58;9;449.0;451.0
27/06/2026 11:20:01;10;450.0;450.9
27/06/2026 11:20:02;11;450.0;450.7
27/06/2026 11:20:04;12;450.0;450.4
27/06/2026 11:20:07;13;449.0;450.1
27/06/2026 11:20:08;14;452.0;450.2
27/06/2026 11:20:11;15;449.0;450.0
27/06/2026 11:20:13;16;444.0;449.3
27/06/2026 11:20:14;17;449.0;449.1
27/06/2026 11:20:17;18;450.0;449.2
27/06/2026 11:20:21;19;450.0;449.3
27/06/2026 11:20:25;20;450.0;449.3
27/06/2026 11:20:29;21;450.0;449.3
27/06/2026 11:20:33;22;450.0;449.3
27/06/2026 11:20:35;23;448.0;449.2
27/06/2026 11:20:37;24;449.0;448.9
27/06/2026 11:20:39;25;449.0;448.9
27/06/2026 11:20:41;26;448.0;449.3
27/06/2026 11:20:43;27;448.0;449.2
27/06/2026 11:20:47;28;448.0;449.0
27/06/2026 11:20:51;29;448.0;448.8
27/06/2026 11:20:53;30;446.0;448.4
27/06/2026 11:20:55;31;447.0;448.1
27/06/2026 11:20:57;32;447.0;447.8
27/06/2026 11:20:59;33;447.0;447.7
27/06/2026 11:21:01;34;447.0;447.5
27/06/2026 11:21:03;35;446.0;447.2
27/06/2026 11:21:05;36;448.0;447.2
27/06/2026 11:21:07;37;446.0;447.0
27/06/2026 11:21:09;38;457.0;447.9
27/06/2026 11:21:11;39;448.0;447.9
27/06/2026 11:21:13;40;448.0;448.1
27/06/2026 11:21:15;41;466.0;450.0
27/06/2026 11:21:17;42;446.0;449.9
27/06/2026 11:21:19;43;466.0;451.8
27/06/2026 11:21:21;44;446.0;451.7
27/06/2026 11:21:25;45;446.0;451.7
27/06/2026 11:21:27;46;464.0;453.3
27/06/2026 11:21:29;47;469.0;455.6
27/06/2026 11:21:31;48;450.0;454.9
27/06/2026 11:21:33;49;469.0;457.0
27/06/2026 11:21:35;50;452.0;457.4
27/06/2026 11:21:37;51;446.0;455.4
27/06/2026 11:21:39;52;458.0;456.6
27/06/2026 11:21:41;53;446.0;454.6
27/06/2026 11:21:43;54;445.0;454.5
27/06/2026 11:21:45;55;448.0;454.7
27/06/2026 11:21:47;56;444.0;452.7
27/06/2026 11:21:49;57;446.0;450.4
27/06/2026 11:21:51;58;444.0;449.8
27/06/2026 11:21:53;59;444.0;447.3
27/06/2026 11:21:55;60;443.0;446.4
27/06/2026 11:21:57;61;445.0;446.3
27/06/2026 11:21:59;62;445.0;445.0
27/06/2026 11:22:01;63;444.0;444.8
27/06/2026 11:22:03;64;437.0;444.0
27/06/2026 11:22:05;65;432.0;442.4
27/06/2026 11:22:07;66;366.0;434.6
27/06/2026 11:22:09;67;346.0;424.6
27/06/2026 11:22:11;68;432.0;423.4
27/06/2026 11:22:13;69;434.0;422.4
27/06/2026 11:22:15;70;419.0;420.0
27/06/2026 11:22:17;71;334.0;408.9
27/06/2026 11:22:21;72;334.0;397.8
27/06/2026 11:22:25;73;334.0;386.8
27/06/2026 11:22:27;74;439.0;387.0
27/06/2026 11:22:29;75;437.0;387.5
27/06/2026 11:22:33;76;437.0;394.6
27/06/2026 11:22:37;77;437.0;403.7
27/06/2026 11:22:41;78;437.0;404.2
27/06/2026 11:22:45;79;437.0;404.5
27/06/2026 11:22:49;80;437.0;406.3
27/06/2026 11:22:52;81;437.0;416.6
27/06/2026 11:22:54;82;436.0;426.8
27/06/2026 11:22:56;83;451.0;438.5
27/06/2026 11:22:58;84;461.0;440.7
27/06/2026 11:23:00;85;448.0;441.8
27/06/2026 11:23:02;86;435.0;441.6
27/06/2026 11:23:06;87;435.0;441.4
27/06/2026 11:23:08;88;432.0;440.9
27/06/2026 11:23:10;89;432.0;440.4
27/06/2026 11:23:12;90;432.0;439.9
27/06/2026 11:23:14;91;435.0;439.7
27/06/2026 11:23:18;92;435.0;439.6
27/06/2026 11:23:20;93;432.0;437.7
27/06/2026 11:23:22;94;432.0;434.8
27/06/2026 11:23:24;95;432.0;433.2
27/06/2026 11:23:26;96;432.0;432.9
27/06/2026 11:23:28;97;432.0;432.6
27/06/2026 11:23:32;98;432.0;432.6
27/06/2026 11:23:34;99;432.0;432.6
27/06/2026 11:23:36;100;432.0;432.6
