Time stamp;Medida;Luminosidade;Temperatura;Umidade;Latitude;Longitude;Altitude
04/07/2026 09:14:43;1;2663;23.2;63.6;-23.005387;-46.835396;763.8
04/07/2026 09:14:49;2;2603;23.2;63.6;-23.005381;-46.835394;763.6
04/07/2026 09:14:56;3;2553;23.2;63.6;-23.005375;-46.835392;763.0
04/07/2026 09:15:02;4;2590;23.2;63.5;-23.005356;-46.835386;761.2
04/07/2026 09:15:08;5;2559;23.2;63.5;-23.005367;-46.835388;762.4
04/07/2026 09:15:15;6;2600;23.2;63.6;-23.005381;-46.83539;764.1
04/07/2026 09:15:21;7;2553;23.2;63.5;-23.005382;-46.83539;764.2
04/07/2026 09:15:27;8;2649;23.2;63.5;-23.005382;-46.83539;764.0
04/07/2026 09:15:33;9;2658;23.2;63.6;-23.005375;-46.835387;763.2
04/07/2026 09:15:40;10;2667;23.2;63.5;-23.00538;-46.835387;763.5
