Time stamp;Medida;Luminosidade
27/06/2026 10:07:58;1;0
27/06/2026 10:08:00;2;1050
27/06/2026 10:08:03;3;1047
27/06/2026 10:08:05;4;1049
27/06/2026 10:08:07;5;1047
27/06/2026 10:08:09;6;1046
27/06/2026 10:08:11;7;1045
27/06/2026 10:08:13;8;1048
27/06/2026 10:08:15;9;1045
27/06/2026 10:08:17;10;1059
27/06/2026 10:08:19;11;1046
27/06/2026 10:08:21;12;1059
27/06/2026 10:08:23;13;1063
27/06/2026 10:08:25;14;1060
27/06/2026 10:08:27;15;1067
27/06/2026 10:08:29;16;1069
27/06/2026 10:08:31;17;1050
27/06/2026 10:08:33;18;1048
27/06/2026 10:08:35;19;1051
27/06/2026 10:08:37;20;1051
27/06/2026 10:08:39;21;1048
27/06/2026 10:08:41;22;1048
27/06/2026 10:08:43;23;1049
27/06/2026 10:08:45;24;1048
27/06/2026 10:08:47;25;1048
27/06/2026 10:08:49;26;1049
27/06/2026 10:08:53;27;1049
27/06/2026 10:08:55;28;1046
27/06/2026 10:08:57;29;1047
27/06/2026 10:08:59;30;1047
27/06/2026 10:09:01;31;1047
27/06/2026 10:09:03;32;1049
27/06/2026 10:09:05;33;1047
27/06/2026 10:09:07;34;1046
27/06/2026 10:09:10;35;1047
27/06/2026 10:09:14;36;1047
27/06/2026 10:09:16;37;1046
27/06/2026 10:09:18;38;1045
27/06/2026 10:09:22;39;1045
27/06/2026 10:09:24;40;1045
27/06/2026 10:09:26;41;1045
27/06/2026 10:09:28;42;1045
27/06/2026 10:09:30;43;1047
27/06/2026 10:09:32;44;1043
27/06/2026 10:09:34;45;1042
27/06/2026 10:09:36;46;1047
27/06/2026 10:09:38;47;1045
27/06/2026 10:09:40;48;1042
27/06/2026 10:09:42;49;1054
27/06/2026 10:09:44;50;1043
27/06/2026 10:09:48;51;1043
27/06/2026 10:09:50;52;1043
27/06/2026 10:09:52;53;1061
27/06/2026 10:09:54;54;1044
27/06/2026 10:09:56;55;1047
27/06/2026 10:10:00;56;1047
27/06/2026 10:10:02;57;1046
27/06/2026 10:10:04;58;1046
27/06/2026 10:10:06;59;1045
27/06/2026 10:10:08;60;1047
27/06/2026 10:10:10;61;1045
27/06/2026 10:10:12;62;1044
27/06/2026 10:10:14;63;1040
27/06/2026 10:10:16;64;1042
27/06/2026 10:10:18;65;1043
27/06/2026 10:10:20;66;1045
27/06/2026 10:10:24;67;1045
27/06/2026 10:10:26;68;1043
27/06/2026 10:10:28;69;1041
27/06/2026 10:10:32;70;1041
27/06/2026 10:10:35;71;1045
27/06/2026 10:10:37;72;1045
27/06/2026 10:10:39;73;1042
27/06/2026 10:10:41;74;1044
27/06/2026 10:10:43;75;1044
27/06/2026 10:10:45;76;1045
27/06/2026 10:10:47;77;1059
27/06/2026 10:10:49;78;1060
27/06/2026 10:10:51;79;1058
27/06/2026 10:10:53;80;1063
27/06/2026 10:10:55;81;1049
27/06/2026 10:10:57;82;1042
27/06/2026 10:10:59;83;1050
27/06/2026 10:11:01;84;1042
27/06/2026 10:11:03;85;1041
27/06/2026 10:11:05;86;1041
27/06/2026 10:11:07;87;1041
27/06/2026 10:11:09;88;1042
27/06/2026 10:11:11;89;1041
27/06/2026 10:11:13;90;1045
27/06/2026 10:11:15;91;1041
27/06/2026 10:11:17;92;1041
27/06/2026 10:11:21;93;1041
27/06/2026 10:11:23;94;1043
27/06/2026 10:11:25;95;1042
27/06/2026 10:11:27;96;1041
27/06/2026 10:11:31;97;1041
27/06/2026 10:11:33;98;1040
27/06/2026 10:11:35;99;1042
27/06/2026 10:11:40;100;1042
