Time stamp;medida_atual;RSSI_DL;RSSI_UL;Perdas;PSR;Max_DL;Min_DL;Max_UL;Min_UL;valor_atual_spreadingfactor;valor_atual_bandwidth;valor_atual_codingrate;valor_atual_potencia_radio;taxa_canal_teorica;taxa_canal_calculada;snr_DL;snr_UL;contador_DL;contador_UL;perda_total;LSS_status
23/06/2026 22:55:50;1;-72.0;-92.0;0;100.0;-72.0;-72.0;-92.0;-92.0;12;125;8;20;183.10546875;183.10546875;9.25;6.25;5;1;0;1
23/06/2026 22:55:58;2;-76.0;-81.5;0;100.0;-72.0;-76.0;-81.5;-92.0;12;125;8;20;183.10546875;183.10546875;10.0;9.25;6;2;0;1
23/06/2026 22:56:06;3;-86.0;-84.5;0;100.0;-72.0;-86.0;-81.5;-92.0;12;125;8;20;183.10546875;183.10546875;7.0;9.25;7;3;0;1
23/06/2026 22:56:15;4;-80.5;-76.0;0;100.0;-72.0;-86.0;-76.0;-92.0;12;125;8;20;183.10546875;183.10546875;8.75;9.0;8;4;0;1
23/06/2026 22:56:23;5;-72.0;-75.0;0;100.0;-72.0;-86.0;-75.0;-92.0;12;125;8;20;183.10546875;183.10546875;9.25;9.75;9;5;0;1
23/06/2026 22:56:31;6;-73.0;-74.0;0;100.0;-72.0;-86.0;-74.0;-92.0;12;125;8;20;183.10546875;183.10546875;9.0;9.25;10;6;0;1
23/06/2026 22:56:39;7;-73.0;-76.0;0;100.0;-72.0;-86.0;-74.0;-92.0;12;125;8;20;183.10546875;183.10546875;9.25;9.75;11;7;0;1
23/06/2026 22:56:48;8;-70.0;-70.0;0;100.0;-70.0;-86.0;-70.0;-92.0;12;125;8;20;183.10546875;183.10546875;10.0;9.25;12;8;0;1
23/06/2026 22:56:56;9;-64.5;-72.0;0;100.0;-64.5;-86.0;-70.0;-92.0;12;125;8;20;183.10546875;183.10546875;11.0;10.75;13;9;0;1
23/06/2026 22:57:04;10;-70.0;-65.5;0;100.0;-64.5;-86.0;-65.5;-92.0;12;125;8;20;183.10546875;183.10546875;10.5;10.0;14;10;0;1
