301;-66.50;-67.50;20.0;86.50;87.50;48.57;63.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
302;-66.50;-67.50;20.0;86.50;87.50;48.57;63.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
303;-66.50;-66.50;20.0;86.50;86.50;48.57;63.00;63.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
304;-66.50;-66.50;20.0;86.50;86.50;48.57;63.00;63.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
305;-66.50;-66.50;20.0;86.50;86.50;48.57;63.00;63.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
306;-66.50;-66.50;20.0;86.50;86.50;48.57;63.00;63.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
307;-66.50;-66.50;20.0;86.50;86.50;48.57;63.00;63.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
308;-66.50;-66.50;20.0;86.50;86.50;48.57;63.00;63.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
309;-66.50;-66.50;20.0;86.50;86.50;48.57;63.00;63.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
310;-66.50;-67.50;20.0;86.50;87.50;48.57;63.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
311;-66.50;-67.50;20.0;86.50;87.50;48.57;63.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
312;-67.50;-67.50;20.0;87.50;87.50;48.57;62.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
313;-66.50;-67.50;20.0;86.50;87.50;48.57;63.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
314;-68.50;-71.00;20.0;88.50;91.00;48.57;61.00;58.50;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
315;-67.50;-67.50;20.0;87.50;87.50;48.57;62.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
316;-68.50;-68.50;20.0;88.50;88.50;48.57;61.00;61.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
317;-67.50;-67.50;20.0;87.50;87.50;48.57;62.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
318;-67.50;-67.50;20.0;87.50;87.50;48.57;62.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
319;-67.50;-67.50;20.0;87.50;87.50;48.57;62.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
320;-71.00;-68.50;20.0;91.00;88.50;48.57;58.50;61.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
321;-67.50;-67.50;20.0;87.50;87.50;48.57;62.00;62.00;1258.2;-129.5;2.00;3.50;5.00;10.0;30.0;Regiao1 n=2.0 d<=10m;EXCELENTE
