Time stamp;medida;rssi_dl;rssi_dl_max;rssi_dl_min;rssi_dl_desvpad;rssi_dl_mediana;rssi_dl_media_movel;rssi_ul;rssi_ul_max;rssi_ul_min;rssi_ul_desvpad;rssi_ul_mediana;rssi_ul_media_movel;snr_dl;snr_dl_max;snr_dl_min;snr_dl_media;snr_ul;snr_ul_max;snr_ul_min;snr_ul_media;psr_ul;psr_ul_medio;per_geral_medio;taxa_teorica;taxa_calculada;contador_dl;contador_ul;perda_total;lss_status
27/06/2026 09:44:23;1;-78.5;-78.5;-78.5;0.0;-78.5;-78.5;-80.5;-80.5;-80.5;0.0;-80.5;-80.5;9.0;9.0;9.0;9.0;8.5;8.5;8.5;8.5;100.0;100.0;0.0;183.11;183.11;1;1;0;1
27/06/2026 09:44:31;2;-79.5;-78.5;-79.5;0.707;-79.0;-78.97;-81.5;-80.5;-81.5;0.707;-81.0;-80.97;9.0;9.0;9.0;9.0;9.0;9.0;8.5;8.75;100.0;100.0;0.0;183.11;183.11;2;2;0;1
27/06/2026 09:44:40;3;-79.5;-78.5;-79.5;0.577;-79.5;-79.14;-80.5;-80.5;-81.5;0.577;-80.5;-80.81;8.75;9.0;8.75;8.92;9.5;9.5;8.5;9.0;100.0;100.0;0.0;183.11;183.11;3;3;0;1
27/06/2026 09:44:48;4;-78.5;-78.5;-79.5;0.577;-79.0;-78.97;-80.5;-80.5;-81.5;0.5;-80.5;-80.73;9.0;9.0;8.75;8.94;9.5;9.5;8.5;9.12;100.0;100.0;0.0;183.11;183.11;4;4;0;1
27/06/2026 09:44:56;5;-78.5;-78.5;-79.5;0.548;-78.5;-78.87;-80.5;-80.5;-81.5;0.447;-80.5;-80.68;8.75;9.0;8.75;8.9;9.5;9.5;8.5;9.2;100.0;100.0;0.0;183.11;183.11;5;5;0;1
27/06/2026 09:45:04;6;-78.5;-78.5;-79.5;0.516;-78.5;-78.81;-81.5;-80.5;-81.5;0.516;-80.5;-80.81;9.0;9.0;8.75;8.92;8.75;9.5;8.5;9.12;100.0;100.0;0.0;183.11;183.11;6;6;0;1
27/06/2026 09:45:12;7;-78.5;-78.5;-79.5;0.488;-78.5;-78.76;-80.5;-80.5;-81.5;0.488;-80.5;-80.76;8.75;9.0;8.75;8.89;9.0;9.5;8.5;9.11;100.0;100.0;0.0;183.11;183.11;7;7;0;1
27/06/2026 09:45:20;8;-78.5;-78.5;-79.5;0.463;-78.5;-78.73;-80.5;-80.5;-81.5;0.463;-80.5;-80.73;9.0;9.0;8.75;8.91;9.5;9.5;8.5;9.16;100.0;100.0;0.0;183.11;183.11;8;8;0;1
27/06/2026 09:45:28;9;-79.5;-78.5;-79.5;0.5;-78.5;-78.81;-81.5;-80.5;-81.5;0.5;-80.5;-80.81;9.25;9.25;8.75;8.94;8.75;9.5;8.5;9.11;100.0;100.0;0.0;183.11;183.11;9;9;0;1
27/06/2026 09:45:36;10;-76.0;-76.0;-79.5;1.012;-78.5;-78.43;-78.5;-78.5;-81.5;0.876;-80.5;-80.51;10.25;10.25;8.75;9.07;10.0;10.0;8.5;9.2;100.0;100.0;0.0;183.11;183.11;10;10;0;1
