Time stamp;medida;luminosidade;luminosidade_media_movel
27/06/2026 11:50:45;1;606.0;606.0
27/06/2026 11:50:47;2;607.0;606.5
27/06/2026 11:50:49;3;607.0;606.67
27/06/2026 11:50:51;4;626.0;611.5
27/06/2026 11:50:53;5;608.0;610.8
27/06/2026 11:50:55;6;627.0;613.5
27/06/2026 11:50:57;7;634.0;616.43
27/06/2026 11:51:01;8;634.0;618.62
27/06/2026 11:51:03;9;625.0;619.33
27/06/2026 11:51:05;10;636.0;621.0
27/06/2026 11:51:07;11;628.0;623.2
27/06/2026 11:51:09;12;637.0;626.2
27/06/2026 11:51:11;13;639.0;629.4
27/06/2026 11:51:13;14;619.0;628.7
27/06/2026 11:51:15;15;618.0;629.7
27/06/2026 11:51:17;16;623.0;629.3
27/06/2026 11:51:19;17;620.0;627.9
27/06/2026 11:51:21;18;623.0;626.8
27/06/2026 11:51:23;19;622.0;626.5
27/06/2026 11:51:25;20;621.0;625.0
27/06/2026 11:51:27;21;623.0;624.5
27/06/2026 11:51:29;22;622.0;623.0
27/06/2026 11:51:31;23;626.0;621.7
27/06/2026 11:51:33;24;624.0;622.2
27/06/2026 11:51:35;25;624.0;622.8
27/06/2026 11:51:37;26;624.0;622.9
27/06/2026 11:51:39;27;624.0;623.3
27/06/2026 11:51:41;28;625.0;623.5
27/06/2026 11:51:43;29;626.0;623.9
27/06/2026 11:51:45;30;625.0;624.3
27/06/2026 11:51:47;31;626.0;624.6
27/06/2026 11:51:49;32;628.0;625.2
27/06/2026 11:51:51;33;627.0;625.3
27/06/2026 11:51:53;34;630.0;625.9
27/06/2026 11:51:55;35;629.0;626.4
27/06/2026 11:51:57;36;631.0;627.1
27/06/2026 11:52:01;37;631.0;627.8
27/06/2026 11:52:04;38;631.0;628.4
27/06/2026 11:52:05;39;632.0;629.0
27/06/2026 11:52:07;40;635.0;630.0
27/06/2026 11:52:10;41;637.0;631.1
27/06/2026 11:52:11;42;638.0;632.1
27/06/2026 11:52:14;43;637.0;633.1
27/06/2026 11:52:15;44;637.0;633.8
27/06/2026 11:52:18;45;638.0;634.7
27/06/2026 11:52:22;46;638.0;635.4
27/06/2026 11:52:24;47;639.0;636.2
27/06/2026 11:52:25;48;641.0;637.2
27/06/2026 11:52:28;49;641.0;638.1
27/06/2026 11:52:32;50;641.0;638.7
27/06/2026 11:52:36;51;641.0;639.1
27/06/2026 11:52:38;52;641.0;639.4
27/06/2026 11:52:40;53;642.0;639.9
27/06/2026 11:52:42;54;645.0;640.7
27/06/2026 11:52:44;55;645.0;641.4
27/06/2026 11:52:46;56;664.0;644.0
27/06/2026 11:52:48;57;671.0;647.2
27/06/2026 11:52:50;58;647.0;647.8
27/06/2026 11:52:52;59;650.0;648.7
27/06/2026 11:52:54;60;650.0;649.6
27/06/2026 11:52:56;61;648.0;650.3
27/06/2026 11:52:58;62;653.0;651.5
27/06/2026 11:53:00;63;654.0;652.7
27/06/2026 11:53:02;64;653.0;653.5
27/06/2026 11:53:04;65;654.0;654.4
27/06/2026 11:53:06;66;652.0;653.2
27/06/2026 11:53:08;67;655.0;651.6
27/06/2026 11:53:10;68;654.0;652.3
27/06/2026 11:53:12;69;655.0;652.8
27/06/2026 11:53:14;70;656.0;653.4
27/06/2026 11:53:18;71;656.0;654.2
27/06/2026 11:53:20;72;656.0;654.5
27/06/2026 11:53:22;73;658.0;654.9
27/06/2026 11:53:26;74;658.0;655.4
27/06/2026 11:53:28;75;658.0;655.8
27/06/2026 11:53:30;76;660.0;656.6
27/06/2026 11:53:32;77;660.0;657.1
27/06/2026 11:53:34;78;661.0;657.8
27/06/2026 11:53:37;79;663.0;658.6
27/06/2026 11:53:38;80;662.0;659.2
27/06/2026 11:53:40;81;660.0;659.6
27/06/2026 11:53:42;82;666.0;660.6
27/06/2026 11:53:44;83;662.0;661.0
27/06/2026 11:53:47;84;666.0;661.8
27/06/2026 11:53:49;85;665.0;662.5
27/06/2026 11:53:51;86;665.0;663.0
27/06/2026 11:53:53;87;668.0;663.8
27/06/2026 11:53:55;88;669.0;664.6
27/06/2026 11:53:57;89;670.0;665.3
27/06/2026 11:53:59;90;688.0;667.9
27/06/2026 11:54:01;91;670.0;668.9
27/06/2026 11:54:03;92;690.0;671.3
27/06/2026 11:54:05;93;692.0;674.3
27/06/2026 11:54:07;94;690.0;676.7
27/06/2026 11:54:09;95;694.0;679.6
27/06/2026 11:54:11;96;683.0;681.4
27/06/2026 11:54:13;97;695.0;684.1
27/06/2026 11:54:15;98;687.0;685.9
27/06/2026 11:54:17;99;676.0;686.5
27/06/2026 11:54:19;100;678.0;685.5
