Time stamp;Medida;Luminosidade
27/06/2026 11:40:45;1;465
27/06/2026 11:40:47;2;446
27/06/2026 11:40:49;3;438
27/06/2026 11:40:51;4;441
27/06/2026 11:40:53;5;440
27/06/2026 11:40:55;6;439
27/06/2026 11:40:57;7;438
27/06/2026 11:40:59;8;438
27/06/2026 11:41:01;9;437
27/06/2026 11:41:03;10;439
27/06/2026 11:41:05;11;440
27/06/2026 11:41:07;12;439
27/06/2026 11:41:09;13;437
27/06/2026 11:41:11;14;438
27/06/2026 11:41:13;15;437
27/06/2026 11:41:17;16;437
27/06/2026 11:41:19;17;441
27/06/2026 11:41:21;18;440
27/06/2026 11:41:23;19;440
27/06/2026 11:41:25;20;442
27/06/2026 11:41:27;21;441
27/06/2026 11:41:29;22;438
27/06/2026 11:41:31;23;440
27/06/2026 11:41:35;24;440
27/06/2026 11:41:37;25;440
27/06/2026 11:41:39;26;439
27/06/2026 11:41:41;27;441
27/06/2026 11:41:45;28;441
27/06/2026 11:41:48;29;440
27/06/2026 11:41:50;30;441
27/06/2026 11:41:52;31;443
27/06/2026 11:41:54;32;441
27/06/2026 11:41:56;33;442
27/06/2026 11:41:58;34;442
27/06/2026 11:42:00;35;443
27/06/2026 11:42:02;36;443
27/06/2026 11:42:04;37;442
27/06/2026 11:42:06;38;441
27/06/2026 11:42:08;39;462
27/06/2026 11:42:10;40;466
27/06/2026 11:42:12;41;460
27/06/2026 11:42:16;42;460
27/06/2026 11:42:18;43;465
27/06/2026 11:42:20;44;461
27/06/2026 11:42:22;45;448
27/06/2026 11:42:24;46;468
27/06/2026 11:42:26;47;447
27/06/2026 11:42:28;48;446
27/06/2026 11:42:30;49;448
27/06/2026 11:42:32;50;446
27/06/2026 11:42:34;51;449
27/06/2026 11:42:36;52;448
27/06/2026 11:42:38;53;447
27/06/2026 11:42:40;54;446
27/06/2026 11:42:42;55;447
27/06/2026 11:42:44;56;447
27/06/2026 11:42:46;57;447
27/06/2026 11:42:48;58;447
27/06/2026 11:42:50;59;448
27/06/2026 11:42:52;60;447
27/06/2026 11:42:54;61;448
27/06/2026 11:42:56;62;448
27/06/2026 11:42:58;63;447
27/06/2026 11:43:00;64;448
27/06/2026 11:43:02;65;448
27/06/2026 11:43:04;66;448
27/06/2026 11:43:06;67;449
27/06/2026 11:43:08;68;451
27/06/2026 11:43:10;69;451
27/06/2026 11:43:12;70;451
27/06/2026 11:43:14;71;452
27/06/2026 11:43:18;72;452
27/06/2026 11:43:21;73;473
27/06/2026 11:43:23;74;479
27/06/2026 11:43:25;75;473
27/06/2026 11:43:27;76;478
27/06/2026 11:43:29;77;463
27/06/2026 11:43:33;78;463
27/06/2026 11:43:35;79;458
27/06/2026 11:43:37;80;459
27/06/2026 11:43:40;81;458
27/06/2026 11:43:45;82;460
27/06/2026 11:43:48;83;461
27/06/2026 11:43:50;84;460
27/06/2026 11:43:54;85;460
27/06/2026 11:43:56;86;462
27/06/2026 11:43:58;87;463
27/06/2026 11:44:00;88;462
27/06/2026 11:44:02;89;464
27/06/2026 11:44:04;90;463
27/06/2026 11:44:06;91;463
27/06/2026 11:44:08;92;464
27/06/2026 11:44:12;93;464
27/06/2026 11:44:14;94;465
27/06/2026 11:44:16;95;464
27/06/2026 11:44:20;96;464
27/06/2026 11:44:22;97;465
27/06/2026 11:44:24;98;467
27/06/2026 11:44:28;99;467
27/06/2026 11:44:32;100;467
