Time stamp;medida;luminosidade;luminosidade_media_movel
05/07/2026 11:15:40;1;4095.0;4095.0
05/07/2026 11:15:47;2;4095.0;4095.0
05/07/2026 11:15:53;3;4095.0;4095.0
05/07/2026 11:16:01;4;4095.0;4095.0
05/07/2026 11:16:08;5;4095.0;4095.0
05/07/2026 11:16:15;6;4095.0;4095.0
05/07/2026 11:16:21;7;4095.0;4095.0
05/07/2026 11:16:27;8;4095.0;4095.0
05/07/2026 11:16:34;9;4095.0;4095.0
05/07/2026 11:16:40;10;4095.0;4095.0
05/07/2026 11:16:46;11;4095.0;4095.0
05/07/2026 11:16:53;12;4095.0;4095.0
05/07/2026 11:16:59;13;4095.0;4095.0
05/07/2026 11:17:06;14;4095.0;4095.0
05/07/2026 11:17:12;15;4095.0;4095.0
05/07/2026 11:17:19;16;4095.0;4095.0
05/07/2026 11:17:25;17;4095.0;4095.0
05/07/2026 11:17:32;18;4095.0;4095.0
05/07/2026 11:17:38;19;4095.0;4095.0
05/07/2026 11:17:44;20;4095.0;4095.0
05/07/2026 11:17:51;21;4095.0;4095.0
05/07/2026 11:17:57;22;4095.0;4095.0
05/07/2026 11:18:03;23;4095.0;4095.0
05/07/2026 11:18:10;24;4095.0;4095.0
05/07/2026 11:18:16;25;4095.0;4095.0
05/07/2026 11:18:23;26;4095.0;4095.0
05/07/2026 11:18:29;27;4095.0;4095.0
05/07/2026 11:18:35;28;4095.0;4095.0
05/07/2026 11:18:42;29;4095.0;4095.0
05/07/2026 11:18:48;30;4095.0;4095.0
05/07/2026 11:18:54;31;4095.0;4095.0
05/07/2026 11:19:01;32;4095.0;4095.0
05/07/2026 11:19:08;33;4095.0;4095.0
05/07/2026 11:19:21;34;4095.0;4095.0
05/07/2026 11:19:27;35;4095.0;4095.0
05/07/2026 11:19:33;36;4095.0;4095.0
05/07/2026 11:19:40;37;4095.0;4095.0
05/07/2026 11:19:46;38;4095.0;4095.0
05/07/2026 11:19:53;39;4095.0;4095.0
05/07/2026 11:19:59;40;4095.0;4095.0
05/07/2026 11:20:06;41;4095.0;4095.0
05/07/2026 11:20:12;42;4095.0;4095.0
05/07/2026 11:20:19;43;4095.0;4095.0
05/07/2026 11:20:26;44;4095.0;4095.0
05/07/2026 11:20:32;45;4095.0;4095.0
05/07/2026 11:20:39;46;4095.0;4095.0
05/07/2026 11:20:45;47;4095.0;4095.0
05/07/2026 11:20:51;48;4095.0;4095.0
05/07/2026 11:20:58;49;4095.0;4095.0
05/07/2026 11:21:04;50;4095.0;4095.0
05/07/2026 11:21:11;51;4095.0;4095.0
05/07/2026 11:21:19;52;4095.0;4095.0
05/07/2026 11:21:31;53;4095.0;4095.0
05/07/2026 11:21:39;54;4095.0;4095.0
05/07/2026 11:21:49;55;4095.0;4095.0
05/07/2026 11:21:57;56;4095.0;4095.0
05/07/2026 11:22:05;57;4095.0;4095.0
05/07/2026 11:22:18;58;4095.0;4095.0
05/07/2026 11:24:43;59;4095.0;4095.0
05/07/2026 11:24:49;60;4095.0;4095.0
05/07/2026 11:24:56;61;4095.0;4095.0
05/07/2026 11:25:03;62;4095.0;4095.0
