Time stamp;medida_atual;RSSI_DL;RSSI_UL;Perdas;PSR;Max_DL;Min_DL;Max_UL;Min_UL;valor_atual_spreadingfactor;valor_atual_bandwidth;valor_atual_codingrate;valor_atual_potencia_radio;taxa_canal_teorica;taxa_canal_calculada;snr_DL;snr_UL;contador_DL;contador_UL;perda_total;LSS_status
23/06/2026 21:24:38;1;-22.0;-23.0;0;100.0;-22.0;-22.0;-23.0;-23.0;12;125;8;20;183.10546875;183.10546875;9.5;9.25;1;1;0;1
23/06/2026 21:24:48;2;-22.0;-24.0;0;100.0;-22.0;-22.0;-23.0;-24.0;12;125;8;20;183.10546875;183.10546875;11.0;10.0;2;2;0;1
23/06/2026 21:24:56;3;-22.0;-24.0;0;100.0;-22.0;-22.0;-23.0;-24.0;12;125;8;20;183.10546875;183.10546875;10.25;10.25;3;3;0;1
23/06/2026 21:25:04;4;-20.5;-24.0;0;100.0;-20.5;-22.0;-23.0;-24.0;12;125;8;20;183.10546875;183.10546875;10.0;9.5;4;4;0;1
23/06/2026 21:25:12;5;-20.5;-24.0;0;100.0;-20.5;-22.0;-23.0;-24.0;12;125;8;20;183.10546875;183.10546875;9.75;10.25;5;5;0;1
23/06/2026 21:25:20;6;-20.5;-23.0;0;100.0;-20.5;-22.0;-23.0;-24.0;12;125;8;20;183.10546875;183.10546875;10.25;10.0;6;6;0;1
23/06/2026 21:25:29;7;-20.5;-24.0;0;100.0;-20.5;-22.0;-23.0;-24.0;12;125;8;20;183.10546875;183.10546875;9.5;10.0;7;7;0;1
23/06/2026 21:25:37;8;-22.0;-24.0;0;100.0;-20.5;-22.0;-23.0;-24.0;12;125;8;20;183.10546875;183.10546875;9.25;9.0;8;8;0;1
23/06/2026 21:25:45;9;-20.5;-24.0;0;100.0;-20.5;-22.0;-23.0;-24.0;12;125;8;20;183.10546875;183.10546875;9.5;9.25;9;9;0;1
23/06/2026 21:25:53;10;-20.5;-23.0;0;100.0;-20.5;-22.0;-23.0;-24.0;12;125;8;20;183.10546875;183.10546875;9.75;8.75;10;10;0;1
