Medida;Latitude;Longitude;Altitude;Distancia_3D_m;RSSI_DL_medido;RSSI_DL_previsto_shadowing
100;-23.005229;-46.835759;761.9;49.56;-66.5;-57.75
101;-23.005229;-46.835759;761.9;49.56;-66.5;-57.75
102;-23.005229;-46.835759;761.9;49.56;-66.5;-57.75
103;-23.005229;-46.835759;761.9;49.56;-66.5;-57.75
104;-23.005169;-46.835721;779.7;48.91;-66.5;-57.58
105;-23.005163;-46.835717;781.6;49.27;-67.5;-57.67
106;-23.005161;-46.835715;782.2;49.35;-67.5;-57.69
107;-23.005159;-46.835713;782.8;49.45;-64.5;-57.72
108;-23.005156;-46.835708;784.3;49.56;-67.5;-57.75
109;-23.005154;-46.835719;782.8;50.27;-65.5;-57.93
110;-23.005152;-46.835733;779.2;51.05;-66.5;-58.13
111;-23.005151;-46.835735;778.7;51.24;-65.5;-58.18
112;-23.005152;-46.835739;778.0;51.42;-68.5;-58.23
113;-23.005153;-46.835742;777.9;51.57;-66.5;-58.27
114;-23.005153;-46.835744;778.0;51.73;-66.5;-58.31
115;-23.005152;-46.835746;778.4;51.97;-65.5;-58.37
116;-23.005151;-46.835748;778.7;52.22;-65.5;-58.43
117;-23.005149;-46.835751;780.2;52.71;-64.5;-58.55
118;-23.005147;-46.835751;780.9;52.93;-66.5;-58.61
119;-23.005146;-46.835751;781.5;53.07;-66.5;-58.64
120;-23.005143;-46.835752;782.1;53.44;-65.5;-58.73
121;-23.005142;-46.835752;782.6;53.58;-65.5;-58.76
122;-23.005139;-46.835751;782.7;53.74;-65.5;-58.8
123;-23.005139;-46.835751;782.8;53.75;-66.5;-58.81
124;-23.005136;-46.83575;782.8;53.91;-71.0;-58.84
125;-23.005136;-46.83575;782.6;53.88;-66.5;-58.84
126;-23.005134;-46.835748;782.1;53.82;-65.5;-58.82
127;-23.005132;-46.835747;782.2;53.91;-65.5;-58.84
128;-23.005131;-46.835745;781.8;53.79;-62.5;-58.82
129;-23.005131;-46.835745;781.8;53.79;-62.5;-58.82
130;-23.005127;-46.835745;780.8;53.99;-66.5;-58.86
131;-23.005127;-46.835744;780.5;53.89;-66.5;-58.84
132;-23.005127;-46.835743;780.6;53.82;-66.5;-58.82
133;-23.005128;-46.835742;780.4;53.66;-65.5;-58.78
134;-23.005129;-46.835741;780.3;53.5;-66.5;-58.74
135;-23.005129;-46.835741;780.0;53.47;-66.5;-58.74
136;-23.005131;-46.835742;779.9;53.38;-65.5;-58.72
137;-23.005132;-46.835743;779.5;53.34;-66.5;-58.71
138;-23.005132;-46.835743;779.0;53.31;-66.5;-58.7
139;-23.005133;-46.835744;778.0;53.24;-66.5;-58.68
140;-23.005134;-46.835746;776.5;53.26;-66.5;-58.69
141;-23.005131;-46.835744;776.7;53.35;-66.5;-58.71
142;-23.005128;-46.835741;777.0;53.37;-65.5;-58.71
143;-23.005125;-46.835739;777.6;53.48;-66.5;-58.74
144;-23.005123;-46.835737;778.6;53.55;-67.5;-58.76
145;-23.005122;-46.835735;778.6;53.48;-66.5;-58.74
146;-23.005123;-46.835736;778.4;53.46;-66.5;-58.74
147;-23.005123;-46.83574;779.0;53.79;-66.5;-58.82
148;-23.005121;-46.835745;780.3;54.41;-66.5;-58.96
149;-23.005121;-46.835752;781.2;55.0;-66.5;-59.11
150;-23.00512;-46.835753;781.5;55.19;-66.5;-59.15
151;-23.005116;-46.835755;782.4;55.75;-66.5;-59.28
152;-23.005116;-46.83576;782.9;56.17;-65.5;-59.38
153;-23.00512;-46.835764;782.3;56.08;-66.5;-59.36
154;-23.005126;-46.83577;781.0;55.93;-66.5;-59.32
155;-23.005132;-46.835775;779.6;55.74;-63.5;-59.28
156;-23.005129;-46.835772;779.4;55.72;-68.5;-59.28
157;-23.005129;-46.835766;778.3;55.2;-65.5;-59.15
158;-23.005123;-46.835758;777.6;55.03;-66.5;-59.11
159;-23.005121;-46.835756;777.5;55.03;-67.5;-59.11
160;-23.005121;-46.835753;776.9;54.79;-66.5;-59.06
161;-23.005121;-46.835749;775.9;54.48;-66.5;-58.98
162;-23.005122;-46.835748;774.9;54.33;-64.5;-58.95
163;-23.005124;-46.835744;773.4;53.92;-66.5;-58.85
164;-23.005125;-46.835744;773.0;53.86;-66.5;-58.83
165;-23.005126;-46.835743;772.5;53.73;-66.5;-58.8
166;-23.005127;-46.835743;772.3;53.66;-68.5;-58.78
167;-23.005128;-46.835743;771.9;53.61;-65.5;-58.77
168;-23.005129;-46.835744;771.3;53.65;-65.5;-58.78
169;-23.00513;-46.835749;771.6;53.91;-72.0;-58.85
170;-23.005131;-46.835751;771.5;53.99;-66.5;-58.86
171;-23.005132;-46.835751;770.9;53.96;-66.5;-58.86
172;-23.005134;-46.835753;770.8;53.97;-66.5;-58.86
173;-23.005137;-46.835753;769.5;53.87;-66.5;-58.83
174;-23.005138;-46.835754;768.7;53.96;-66.5;-58.86
175;-23.00514;-46.835755;768.2;53.95;-66.5;-58.85
176;-23.005142;-46.835756;767.6;53.96;-66.5;-58.86
177;-23.005145;-46.835757;766.9;53.92;-65.5;-58.85
178;-23.005146;-46.835759;766.5;54.06;-65.5;-58.88
179;-23.005148;-46.83576;766.0;54.08;-65.5;-58.88
180;-23.005149;-46.835761;765.8;54.11;-64.5;-58.89
181;-23.00515;-46.835762;765.9;54.1;-65.5;-58.89
182;-23.005152;-46.835765;765.9;54.19;-66.5;-58.91
183;-23.005153;-46.835766;766.1;54.16;-65.5;-58.9
184;-23.005154;-46.835769;766.5;54.25;-67.5;-58.93
185;-23.005155;-46.835772;766.9;54.35;-65.5;-58.95
186;-23.005156;-46.835786;766.8;55.38;-66.5;-59.2
187;-23.005148;-46.835807;766.0;57.72;-75.0;-59.73
188;-23.005136;-46.83585;766.7;61.87;-66.5;-60.64
189;-23.005121;-46.8359;766.7;66.94;-74.0;-61.67
190;-23.005105;-46.835955;766.5;72.57;-71.0;-62.72
191;-23.005068;-46.836044;767.4;82.29;-70.0;-64.36
192;-23.005043;-46.83611;768.9;89.33;-67.5;-65.43
193;-23.005021;-46.836174;768.8;96.19;-71.0;-66.39
194;-23.004999;-46.83624;768.0;103.29;-67.5;-67.32
195;-23.004962;-46.836322;765.3;112.8;-70.0;-68.46
196;-23.004962;-46.836322;765.3;112.8;-70.0;-68.46
197;-23.00489;-46.836583;763.2;140.18;-71.0;-71.3
198;-23.004871;-46.836623;764.9;144.64;-73.0;-71.7
199;-23.00486;-46.836649;765.3;147.53;-73.0;-71.96
200;-23.004854;-46.836674;766.3;150.04;-75.0;-72.18
201;-23.004855;-46.83667;764.8;149.72;-75.0;-72.15
202;-23.004853;-46.836666;764.7;149.47;-75.0;-72.13
203;-23.004853;-46.836661;763.4;149.11;-75.0;-72.1
204;-23.004851;-46.836656;762.7;148.82;-75.0;-72.07
205;-23.00485;-46.836654;761.9;148.76;-76.0;-72.07
206;-23.00485;-46.836653;761.5;148.71;-75.0;-72.06
207;-23.004846;-46.836648;761.0;148.51;-76.0;-72.05
208;-23.004846;-46.836648;760.9;148.52;-74.0;-72.05
209;-23.004845;-46.836647;761.2;148.45;-76.0;-72.04
210;-23.004845;-46.836647;761.0;148.47;-76.0;-72.04
211;-23.004844;-46.836645;760.7;148.37;-76.0;-72.04
212;-23.004842;-46.836644;760.5;148.41;-75.0;-72.04
213;-23.004841;-46.836644;760.6;148.45;-76.0;-72.04
214;-23.004839;-46.836644;759.8;148.63;-75.0;-72.06
215;-23.004837;-46.836643;760.0;148.63;-75.0;-72.06
216;-23.004835;-46.836643;760.3;148.7;-75.0;-72.06
217;-23.004833;-46.836641;760.5;148.61;-75.0;-72.06
218;-23.004832;-46.836641;760.7;148.64;-74.0;-72.06
219;-23.00483;-46.836643;760.2;148.97;-75.0;-72.09
220;-23.00483;-46.836644;760.4;149.04;-74.0;-72.09
221;-23.004829;-46.836645;760.5;149.17;-76.0;-72.11
222;-23.004831;-46.836645;762.3;148.9;-76.0;-72.08
223;-23.004833;-46.836646;763.5;148.78;-83.5;-72.07
224;-23.004834;-46.836646;764.1;148.68;-78.5;-72.06
225;-23.004834;-46.836646;764.6;148.65;-75.0;-72.06
226;-23.004833;-46.836647;764.3;148.81;-76.0;-72.07
227;-23.004833;-46.836647;765.0;148.76;-76.0;-72.07
228;-23.004835;-46.836645;765.6;148.44;-77.5;-72.04
229;-23.004836;-46.836641;766.7;147.95;-80.5;-72.0
230;-23.004836;-46.83664;766.8;147.86;-75.0;-71.99
231;-23.004837;-46.836638;768.3;147.55;-75.0;-71.96
232;-23.004837;-46.836636;769.4;147.32;-75.0;-71.94
233;-23.004837;-46.836635;769.9;147.21;-75.0;-71.93
234;-23.004837;-46.836634;770.8;147.09;-75.0;-71.92
235;-23.004838;-46.836633;772.3;146.91;-75.0;-71.91
236;-23.004837;-46.836632;773.1;146.85;-73.0;-71.9
237;-23.004837;-46.836632;774.2;146.84;-75.0;-71.9
238;-23.004837;-46.836631;774.9;146.75;-75.0;-71.89
239;-23.004837;-46.836631;775.7;146.75;-75.0;-71.89
240;-23.004835;-46.836632;776.5;146.95;-75.0;-71.91
241;-23.004834;-46.836635;776.0;147.27;-75.0;-71.94
242;-23.004835;-46.836637;775.7;147.39;-75.0;-71.95
243;-23.004836;-46.836641;775.0;147.7;-73.0;-71.98
244;-23.004833;-46.836649;773.2;148.59;-71.0;-72.05
245;-23.004833;-46.836647;770.5;148.48;-71.0;-72.04
246;-23.004834;-46.836649;769.3;148.65;-71.0;-72.06
247;-23.004835;-46.836652;768.5;148.9;-72.0;-72.08
248;-23.004835;-46.836656;768.4;149.27;-73.0;-72.11
249;-23.004837;-46.836661;768.1;149.63;-73.0;-72.15
250;-23.004838;-46.836664;767.7;149.87;-72.0;-72.17
251;-23.004839;-46.836666;767.2;150.03;-72.0;-72.18
252;-23.004839;-46.836668;766.5;150.25;-71.0;-72.2
253;-23.004841;-46.836669;765.9;150.27;-71.0;-72.2
254;-23.00484;-46.836669;764.4;150.43;-71.0;-72.21
255;-23.004839;-46.836674;765.1;150.88;-72.0;-72.25
256;-23.004831;-46.836675;766.6;151.29;-71.0;-72.29
257;-23.004827;-46.836673;766.8;151.3;-72.0;-72.29
258;-23.004825;-46.836673;767.5;151.37;-71.0;-72.3
259;-23.004826;-46.836673;767.1;151.34;-71.0;-72.29
260;-23.004827;-46.836672;766.5;151.23;-71.0;-72.28
261;-23.004825;-46.836669;766.1;151.09;-72.0;-72.27
262;-23.004818;-46.836666;767.2;151.12;-73.0;-72.27
263;-23.00481;-46.836662;768.5;151.13;-73.0;-72.27
264;-23.004808;-46.836663;769.0;151.3;-71.0;-72.29
265;-23.004803;-46.836661;769.5;151.37;-70.0;-72.3
266;-23.004803;-46.836662;769.2;151.47;-75.0;-72.3
267;-23.004799;-46.83666;769.7;151.49;-72.0;-72.31
268;-23.004794;-46.836659;769.3;151.69;-73.0;-72.32
269;-23.004795;-46.836662;768.5;151.94;-76.0;-72.34
270;-23.004797;-46.836666;767.6;152.23;-77.5;-72.37
271;-23.004798;-46.836674;766.9;152.93;-80.5;-72.43
272;-23.004806;-46.836686;765.4;153.66;-79.5;-72.49
273;-23.004809;-46.836697;764.4;154.56;-79.5;-72.57
274;-23.00481;-46.836703;763.4;155.12;-78.5;-72.61
275;-23.004808;-46.836707;763.7;155.56;-75.0;-72.65
276;-23.004804;-46.836716;764.0;156.56;-74.0;-72.74
277;-23.004802;-46.836762;762.6;160.93;-75.0;-73.09
278;-23.00479;-46.836807;763.4;165.56;-82.5;-73.46
279;-23.00478;-46.836855;763.8;170.4;-88.0;-73.84
280;-23.004764;-46.836911;764.7;176.26;-81.5;-74.28
281;-23.00475;-46.836983;763.3;183.64;-87.0;-74.81
282;-23.004716;-46.837098;762.1;195.94;-81.5;-75.66
283;-23.004692;-46.837178;761.6;204.51;-87.0;-76.22
284;-23.004667;-46.837258;761.7;213.08;-86.0;-76.75
285;-23.004642;-46.837332;761.5;221.12;-89.0;-77.23
286;-23.004607;-46.837407;761.0;229.73;-93.0;-77.73
287;-23.0046;-46.837426;760.1;231.88;-103.5;-77.85
288;-23.004596;-46.837436;761.2;232.92;-89.0;-77.91
289;-23.004598;-46.837437;761.7;232.89;-90.0;-77.91
290;-23.004599;-46.837436;761.9;232.74;-87.0;-77.9
291;-23.004599;-46.837437;762.9;232.78;-89.0;-77.9
292;-23.0046;-46.837441;762.7;233.12;-89.0;-77.92
293;-23.004596;-46.837441;763.5;233.26;-88.0;-77.93
294;-23.004592;-46.83744;764.4;233.31;-87.0;-77.93
295;-23.004591;-46.837442;764.6;233.53;-88.0;-77.95
296;-23.004589;-46.837441;764.8;233.52;-87.0;-77.94
297;-23.004586;-46.837441;765.1;233.65;-88.0;-77.95
298;-23.004584;-46.837439;765.2;233.55;-88.0;-77.95
299;-23.004579;-46.837436;765.5;233.49;-88.0;-77.94
300;-23.004577;-46.837434;766.2;233.37;-87.0;-77.94
301;-23.004573;-46.837431;766.8;233.26;-89.0;-77.93
302;-23.004569;-46.837429;767.5;233.24;-87.0;-77.93
303;-23.004565;-46.837427;768.2;233.22;-93.0;-77.93
304;-23.004556;-46.837427;768.9;233.63;-88.0;-77.95
305;-23.004551;-46.837427;769.7;233.85;-88.0;-77.96
306;-23.004549;-46.837428;770.4;234.03;-89.0;-77.97
307;-23.004545;-46.837426;771.4;234.02;-87.0;-77.97
308;-23.004542;-46.837426;772.4;234.15;-87.0;-77.98
309;-23.004539;-46.837425;772.9;234.2;-88.0;-77.98
310;-23.004535;-46.837424;774.6;234.29;-88.0;-77.99
311;-23.004533;-46.837425;775.6;234.48;-87.0;-78.0
312;-23.004533;-46.837425;775.9;234.48;-88.0;-78.0
313;-23.004531;-46.837425;775.9;234.58;-88.0;-78.0
314;-23.004531;-46.837425;776.5;234.58;-88.0;-78.0
315;-23.00453;-46.837426;776.7;234.72;-88.0;-78.01
316;-23.00453;-46.837426;776.7;234.72;-88.0;-78.01
317;-23.004529;-46.837427;776.4;234.86;-87.0;-78.02
318;-23.004528;-46.837427;776.4;234.91;-88.0;-78.02
319;-23.004529;-46.837429;776.2;235.04;-88.0;-78.03
320;-23.004529;-46.837429;775.9;235.04;-88.0;-78.03
321;-23.004528;-46.837428;775.8;235.0;-88.0;-78.03
322;-23.004528;-46.837428;775.7;235.0;-88.0;-78.03
323;-23.004527;-46.837426;775.8;234.87;-87.0;-78.02
324;-23.004523;-46.837424;776.6;234.88;-88.0;-78.02
325;-23.004517;-46.837421;777.2;234.91;-88.0;-78.02
326;-23.00451;-46.837417;777.9;234.9;-88.0;-78.02
327;-23.004507;-46.837416;778.2;234.97;-88.0;-78.02
328;-23.004502;-46.837413;778.8;234.95;-88.0;-78.02
329;-23.004499;-46.837411;779.1;234.93;-88.0;-78.02
330;-23.004503;-46.837417;778.4;235.26;-88.0;-78.04
331;-23.004506;-46.837419;777.6;235.28;-87.0;-78.04
332;-23.004502;-46.837416;778.0;235.22;-89.0;-78.04
333;-23.004503;-46.837418;777.5;235.34;-87.0;-78.05
334;-23.004507;-46.83742;776.6;235.32;-88.0;-78.04
