Time stamp;medida_atual;RSSI_DL;RSSI_UL;Perdas;PSR_DL;PSR_UL;Max_DL;Min_DL;Max_UL;Min_UL;valor_atual_spreadingfactor;valor_atual_bandwidth;valor_atual_codingrate;valor_atual_potencia_radio;taxa_canal_teorica;taxa_canal_calculada;snr_DL;snr_UL;contador_DL;contador_UL;perda_total;LSS_status
04/07/2026 13:52:58;1;-28.0;-34.5;0;100.0;100.0;-28.0;-28.0;-34.5;-34.5;12;125;8;14;183.10546875;183.10546875;9.5;10.0;0;1;0;1
04/07/2026 13:53:11;2;-28.0;-34.5;1;100.0;50.0;-28.0;-28.0;-34.5;-34.5;12;125;8;14;183.10546875;91.552734375;9.5;10.0;0;1;1;1
04/07/2026 13:53:17;3;-28.0;-34.5;1;66.67;66.67;-28.0;-28.0;-34.5;-34.5;12;125;8;14;183.10546875;122.07031249999999;9.5;9.5;0;2;1;1
04/07/2026 13:53:23;4;-28.0;-34.5;1;75.0;75.0;-28.0;-28.0;-34.5;-34.5;12;125;8;14;183.10546875;137.3291015625;9.0;9.5;0;3;1;1
04/07/2026 13:53:29;5;-28.0;-34.5;1;80.0;80.0;-28.0;-28.0;-34.5;-34.5;12;125;8;14;183.10546875;146.484375;9.0;9.75;0;4;1;1
04/07/2026 13:53:36;6;-28.0;-33.5;1;83.33;83.33;-28.0;-28.0;-33.5;-34.5;12;125;8;14;183.10546875;152.58789062500003;10.0;10.25;0;5;1;1
04/07/2026 13:53:42;7;-28.0;-34.5;1;85.71;85.71;-28.0;-28.0;-33.5;-34.5;12;125;8;14;183.10546875;156.94754464285714;10.0;9.5;0;6;1;1
04/07/2026 13:53:48;8;-28.0;-34.5;1;87.5;87.5;-28.0;-28.0;-33.5;-34.5;12;125;8;14;183.10546875;160.21728515625;9.5;10.25;0;7;1;1
04/07/2026 13:53:55;9;-28.0;-33.5;1;88.89;88.89;-28.0;-28.0;-33.5;-34.5;12;125;8;14;183.10546875;162.76041666666666;10.0;9.75;0;8;1;1
04/07/2026 13:54:01;10;-28.0;-33.5;1;90.0;90.0;-28.0;-28.0;-33.5;-34.5;12;125;8;14;183.10546875;164.794921875;9.5;9.5;0;9;1;1
