Time stamp;medida_atual;RSSI_DL;RSSI_UL;Perdas;PSR;Max_DL;Min_DL;Max_UL;Min_UL;valor_atual_spreadingfactor;valor_atual_bandwidth;valor_atual_codingrate;valor_atual_potencia_radio;taxa_canal_teorica;taxa_canal_calculada;snr_DL;snr_UL;contador_DL;contador_UL;perda_total;LSS_status
24/06/2026 00:46:41;0;-51.5;-54.0;0;0.0;-51.5;-51.5;-54.0;-54.0;12;125;8;20;183.10546875;0.0;10.5;8.75;14;1;0;1
24/06/2026 00:46:49;1;-55.0;-57.0;0;100.0;-51.5;-55.0;-54.0;-57.0;12;125;8;20;183.10546875;183.10546875;10.5;9.75;15;2;0;1
24/06/2026 00:46:57;2;-55.0;-57.0;0;100.0;-51.5;-55.0;-54.0;-57.0;12;125;8;20;183.10546875;183.10546875;10.25;9.75;16;3;0;1
24/06/2026 00:47:05;3;-54.0;-55.0;0;100.0;-51.5;-55.0;-54.0;-57.0;12;125;8;20;183.10546875;183.10546875;10.75;10.0;17;4;0;1
24/06/2026 00:47:14;4;-54.0;-57.0;0;100.0;-51.5;-55.0;-54.0;-57.0;12;125;8;20;183.10546875;183.10546875;9.25;9.0;18;5;0;1
24/06/2026 00:47:24;5;-54.0;-57.0;1;80.0;-51.5;-55.0;-54.0;-57.0;12;125;8;20;183.10546875;146.484375;9.25;9.0;18;5;1;1
24/06/2026 00:47:42;6;-50.5;-54.0;0;66.67;-50.5;-55.0;-54.0;-57.0;12;125;8;20;183.10546875;122.07031249999999;8.75;9.0;-1;7;2;4
24/06/2026 00:47:50;7;-52.5;-55.0;0;71.43;-50.5;-55.0;-54.0;-57.0;12;125;8;20;183.10546875;130.7896205357143;11.25;12.25;0;8;2;1
24/06/2026 00:47:59;8;-52.5;-54.0;0;75.0;-50.5;-55.0;-54.0;-57.0;12;125;8;20;183.10546875;137.3291015625;9.0;9.5;1;9;2;1
24/06/2026 00:48:07;9;-51.5;-54.0;0;77.78;-50.5;-55.0;-54.0;-57.0;12;125;8;20;183.10546875;142.41536458333334;9.0;9.25;2;10;2;1
