Time stamp;Medida;Luminosidade;Temperatura;Umidade;Latitude;Longitude;Altitude
05/07/2026 12:24:31;1;4095;43.4;29.0;-23.005327;-46.835368;765.7
05/07/2026 12:24:38;2;4095;43.4;29.0;-23.005324;-46.835364;766.9
05/07/2026 12:24:45;3;4095;43.4;29.0;-23.005324;-46.83536;767.5
05/07/2026 12:24:53;4;4095;43.3;29.0;-23.005325;-46.83536;767.8
05/07/2026 12:25:42;5;4095;42.4;27.7;-23.005328;-46.835366;766.1
05/07/2026 12:25:48;6;4095;41.9;27.7;-23.00533;-46.835365;766.5
05/07/2026 12:25:55;7;4095;41.4;28.0;-23.005333;-46.835365;766.8
05/07/2026 12:26:01;8;4095;41.1;28.2;-23.005336;-46.835362;766.7
05/07/2026 12:26:07;9;4095;40.7;28.6;-23.005331;-46.835362;766.5
05/07/2026 12:26:14;10;4095;40.5;29.0;-23.005328;-46.835364;766.4
05/07/2026 12:26:20;11;4095;40.2;29.7;-23.005326;-46.835365;766.3
05/07/2026 12:26:26;12;4095;40.09;29.9;-23.005328;-46.835364;766.5
05/07/2026 12:26:33;13;4095;39.9;30.6;-23.005331;-46.835362;766.7
05/07/2026 12:26:39;14;4095;39.8;31.1;-23.005335;-46.835359;766.8
05/07/2026 12:26:45;15;4095;39.7;31.4;-23.005339;-46.835359;766.5
05/07/2026 12:26:52;16;4095;39.7;31.5;-23.005344;-46.83536;765.5
05/07/2026 12:26:58;17;4095;39.7;31.5;-23.005345;-46.835361;764.9
05/07/2026 12:27:04;18;4095;39.9;31.6;-23.005347;-46.835363;764.5
05/07/2026 12:27:11;19;4095;40.0;31.7;-23.005351;-46.835359;764.1
05/07/2026 12:27:18;20;4095;40.2;31.8;-23.005353;-46.835358;764.7
05/07/2026 12:27:25;21;4095;40.5;31.5;-23.005355;-46.835357;765.8
05/07/2026 12:27:31;22;4095;40.59;30.8;-23.005356;-46.835356;766.3
05/07/2026 12:27:37;23;4095;40.59;30.2;-23.005331;-46.835399;765.6
05/07/2026 12:27:44;24;4095;40.7;30.1;-23.005264;-46.835621;762.9
05/07/2026 12:27:50;25;4095;40.7;30.7;-23.005173;-46.835881;761.3
05/07/2026 12:27:56;26;4095;40.8;30.9;-23.005024;-46.836247;758.5
05/07/2026 12:28:03;27;4095;40.8;30.6;-23.004976;-46.836346;756.8
05/07/2026 12:28:09;28;4095;40.8;30.6;-23.004952;-46.836432;756.4
05/07/2026 12:28:15;29;4095;40.8;30.6;-23.00488;-46.836711;756.1
05/07/2026 12:28:22;30;4095;40.9;30.5;-23.004791;-46.836994;754.6
05/07/2026 12:28:28;31;4095;41.0;30.6;-23.004686;-46.837334;753.5
05/07/2026 12:28:35;32;4095;41.1;30.5;-23.004581;-46.837654;752.6
05/07/2026 12:28:41;33;4095;41.1;30.3;-23.004475;-46.838;752.4
05/07/2026 12:28:47;34;4095;41.1;30.2;-23.004338;-46.838429;751.5
05/07/2026 12:28:54;35;4095;41.2;30.1;-23.004244;-46.838727;751.0
05/07/2026 12:29:00;36;4095;41.3;29.9;-23.004151;-46.838951;-13421022.1
05/07/2026 12:29:06;37;4095;41.4;29.9;-23.004137;-46.839033;753.5
05/07/2026 12:29:13;38;4095;41.2;29.1;-23.004138;-46.839042;753.9
05/07/2026 12:29:19;39;4095;40.8;28.8;-23.004138;-46.839042;754.0
05/07/2026 12:29:25;40;4095;40.3;28.9;-23.00412;-46.839101;754.0
05/07/2026 12:29:32;41;4095;39.9;29.4;-23.004077;-46.839217;754.6
05/07/2026 12:29:38;42;4095;39.7;29.9;-23.004068;-46.839243;755.2
05/07/2026 12:29:44;43;4095;39.3;29.8;-23.004069;-46.839243;756.7
05/07/2026 12:29:51;44;4095;38.8;30.0;-23.00407;-46.839243;757.5
05/07/2026 12:29:57;45;4095;38.2;30.4;-23.004073;-46.839242;758.3
05/07/2026 12:30:04;46;4095;37.7;30.9;-23.004076;-46.839243;758.8
05/07/2026 12:30:10;47;4095;37.3;31.4;-23.004078;-46.839244;759.9
05/07/2026 12:30:16;48;4095;36.9;31.9;-23.00408;-46.839243;761.1
05/07/2026 12:30:23;49;4095;36.5;32.7;-23.004083;-46.839241;762.5
05/07/2026 12:30:29;50;4095;36.2;33.0;-23.004084;-46.839114;-20124020.62
05/07/2026 12:30:41;51;4095;36.2;33.0;-23.004084;-46.839114;-20124020.62
05/07/2026 12:30:48;52;4095;35.09;33.9;-23.004092;-46.839208;776.4
05/07/2026 12:30:54;53;4095;34.9;34.5;-23.004085;-46.83921;775.7
05/07/2026 12:31:00;54;4095;34.7;35.3;-23.004081;-46.839211;774.8
05/07/2026 12:31:07;55;4095;34.5;35.59;-23.004078;-46.839212;774.4
05/07/2026 12:31:13;56;4095;34.4;35.7;-23.004078;-46.839214;774.8
05/07/2026 12:31:25;57;4095;34.4;35.7;-23.004078;-46.839214;774.8
05/07/2026 12:31:32;58;4095;34.0;38.9;-23.004082;-46.839215;773.1
05/07/2026 12:31:38;59;4095;34.0;40.2;-23.004081;-46.839218;772.4
05/07/2026 12:31:44;60;4095;33.9;41.6;-23.004083;-46.839221;772.1
05/07/2026 12:31:51;61;4095;33.9;43.1;-23.004084;-46.839224;771.9
05/07/2026 12:31:57;62;4095;33.9;42.9;-23.004087;-46.839222;773.2
05/07/2026 12:32:03;63;4095;33.8;41.9;-23.004091;-46.839226;773.9
05/07/2026 12:32:10;64;4095;33.8;41.5;-23.004093;-46.839232;773.7
05/07/2026 12:32:16;65;4095;33.7;40.9;-23.004096;-46.839241;773.0
05/07/2026 12:32:22;66;4095;33.59;40.3;-23.004101;-46.839242;772.3
05/07/2026 12:32:29;67;4095;33.4;40.2;-23.004107;-46.839247;771.6
05/07/2026 12:32:35;68;4095;33.3;40.2;-23.004104;-46.839268;767.8
05/07/2026 12:32:42;69;4095;33.2;39.8;-23.004085;-46.839261;765.4
05/07/2026 12:32:48;70;4095;33.09;39.5;-23.004074;-46.839254;764.0
05/07/2026 12:32:54;71;4095;33.0;39.09;-23.004066;-46.83925;763.1
05/07/2026 12:33:01;72;4095;33.0;39.09;-23.004063;-46.83925;762.0
05/07/2026 12:33:07;73;4095;33.0;39.4;-23.00406;-46.839252;759.9
05/07/2026 12:33:13;74;4095;33.0;39.3;-23.004059;-46.839253;757.8
05/07/2026 12:33:20;75;4095;33.0;38.9;-23.004057;-46.839254;755.9
05/07/2026 12:33:26;76;4095;32.9;38.7;-23.004055;-46.839255;754.8
05/07/2026 12:33:32;77;4095;32.8;38.8;-23.004055;-46.839255;753.7
05/07/2026 12:33:39;78;4095;32.7;38.7;-23.004055;-46.839254;753.3
05/07/2026 12:33:45;79;4095;32.59;38.8;-23.004055;-46.839253;753.2
05/07/2026 12:33:52;80;4095;32.59;39.09;-23.004055;-46.839251;753.7
05/07/2026 12:33:58;81;4095;32.5;39.3;-23.004054;-46.83925;754.4
05/07/2026 12:34:04;82;4095;32.5;39.4;-23.004053;-46.839248;755.0
05/07/2026 12:34:11;83;4095;32.5;39.4;-23.004052;-46.839249;755.4
05/07/2026 12:34:17;84;4095;32.4;39.4;-23.004052;-46.839249;755.7
05/07/2026 12:34:23;85;4095;32.3;39.59;-23.004053;-46.83925;755.2
05/07/2026 12:34:30;86;4095;32.09;39.7;-23.004054;-46.839251;754.5
05/07/2026 12:34:36;87;4095;31.9;39.9;-23.004054;-46.839252;753.4
05/07/2026 12:34:42;88;4095;31.7;40.2;-23.004053;-46.83925;752.4
05/07/2026 12:34:49;89;4095;31.4;40.5;-23.004053;-46.839248;751.4
05/07/2026 12:34:55;90;4095;31.2;40.7;-23.004053;-46.839247;751.7
05/07/2026 12:35:01;91;4095;31.0;41.2;-23.004053;-46.839246;752.0
05/07/2026 12:35:08;92;4095;30.8;41.7;-23.004053;-46.839246;752.1
05/07/2026 12:35:14;93;4095;30.7;42.1;-23.004054;-46.839247;752.2
05/07/2026 12:35:20;94;4095;30.5;42.3;-23.004055;-46.839247;752.8
05/07/2026 12:35:27;95;4095;30.3;42.4;-23.004056;-46.839248;753.6
05/07/2026 12:35:33;96;4095;30.2;42.6;-23.00406;-46.83925;754.5
05/07/2026 12:35:39;97;4095;30.1;42.8;-23.004062;-46.839252;755.4
05/07/2026 12:35:46;98;4095;30.0;43.0;-23.004063;-46.839253;756.3
05/07/2026 12:35:52;99;4095;29.9;43.3;-23.004067;-46.839255;758.7
05/07/2026 12:36:04;100;4095;29.9;43.3;-23.004067;-46.839255;758.7
05/07/2026 12:36:11;101;4095;29.8;43.8;-23.004066;-46.839253;765.5
05/07/2026 12:36:17;102;4095;29.8;43.8;-23.004067;-46.839251;768.3
05/07/2026 12:36:23;103;4095;29.7;43.8;-23.00407;-46.83925;770.9
05/07/2026 12:36:30;104;4095;29.6;44.0;-23.004074;-46.839249;773.5
05/07/2026 12:36:36;105;4095;29.5;44.1;-23.004082;-46.839248;777.0
05/07/2026 12:36:42;106;4095;29.4;44.3;-23.004087;-46.839248;779.2
05/07/2026 12:36:49;107;4095;29.3;44.3;-23.004089;-46.839249;779.9
05/07/2026 12:36:55;108;4095;29.2;44.5;-23.004089;-46.83925;780.2
05/07/2026 12:37:01;109;4095;29.1;44.8;-23.004087;-46.839249;780.9
05/07/2026 12:37:08;110;4095;29.1;45.2;-23.004083;-46.83925;781.2
05/07/2026 12:37:14;111;4095;29.0;45.4;-23.004081;-46.839251;780.2
05/07/2026 12:37:21;112;4095;29.0;45.5;-23.004082;-46.839252;779.2
05/07/2026 12:37:27;113;4095;29.0;45.5;-23.004083;-46.839252;778.5
05/07/2026 12:37:33;114;4095;28.9;45.6;-23.004082;-46.839251;778.4
05/07/2026 12:37:40;115;4095;28.9;45.9;-23.004082;-46.83925;777.9
05/07/2026 12:37:46;116;4095;28.9;45.8;-23.004082;-46.839249;777.3
05/07/2026 12:37:52;117;4095;28.9;45.5;-23.004083;-46.839248;776.8
05/07/2026 12:37:59;118;4095;28.8;45.5;-23.004081;-46.839247;776.8
05/07/2026 12:38:05;119;4095;28.7;45.6;-23.00408;-46.839246;776.3
05/07/2026 12:38:11;120;4095;28.7;45.6;-23.004082;-46.839247;774.7
05/07/2026 12:38:18;121;4095;28.6;45.6;-23.004083;-46.83925;773.0
05/07/2026 12:38:24;122;4095;28.6;45.9;-23.004083;-46.839252;772.1
05/07/2026 12:38:31;123;4095;28.6;46.0;-23.004083;-46.839254;771.3
05/07/2026 12:38:37;124;4095;28.7;46.2;-23.004083;-46.839256;770.5
05/07/2026 12:38:43;125;4095;28.7;46.2;-23.004081;-46.839258;770.3
05/07/2026 12:38:50;126;4095;28.8;46.3;-23.004079;-46.839261;769.6
05/07/2026 12:38:56;127;4095;28.9;46.3;-23.004077;-46.839262;769.1
05/07/2026 12:39:02;128;4095;29.0;46.3;-23.004076;-46.839265;769.2
05/07/2026 12:39:09;129;4095;29.1;46.3;-23.004077;-46.839266;768.9
05/07/2026 12:39:15;130;4095;29.2;46.1;-23.004079;-46.839267;768.2
05/07/2026 12:39:22;131;4095;29.3;46.0;-23.004079;-46.839269;767.4
05/07/2026 12:39:28;132;4095;29.4;46.1;-23.004078;-46.83927;767.5
05/07/2026 12:39:34;133;4095;29.4;46.1;-23.004079;-46.839273;766.6
05/07/2026 12:39:41;134;4095;29.4;46.0;-23.004077;-46.839272;765.7
05/07/2026 12:39:47;135;4095;29.4;45.9;-23.004074;-46.839265;764.5
05/07/2026 12:39:53;136;4095;29.4;46.2;-23.004067;-46.839257;764.1
05/07/2026 12:40:00;137;4095;29.4;46.4;-23.004064;-46.839251;763.5
05/07/2026 12:40:06;138;4095;29.4;46.0;-23.004061;-46.839246;763.4
05/07/2026 12:40:13;139;4095;29.4;45.9;-23.004059;-46.839244;762.8
05/07/2026 12:40:19;140;4095;29.5;46.0;-23.004058;-46.839244;761.9
05/07/2026 12:40:25;141;4095;29.5;46.1;-23.004055;-46.839242;761.8
05/07/2026 12:40:32;142;4095;29.5;45.7;-23.004055;-46.839241;761.5
05/07/2026 12:40:38;143;4095;29.4;45.6;-23.004056;-46.839237;761.1
05/07/2026 12:40:44;144;4095;29.3;45.4;-23.004058;-46.839235;760.5
05/07/2026 12:40:51;145;4095;29.2;45.4;-23.00406;-46.839234;760.3
05/07/2026 12:40:57;146;4095;29.2;45.4;-23.004063;-46.839233;759.6
05/07/2026 12:41:03;147;4095;29.0;45.4;-23.004064;-46.839232;758.8
05/07/2026 12:41:10;148;4095;28.9;45.6;-23.004064;-46.83923;758.3
05/07/2026 12:41:16;149;4095;28.9;45.9;-23.004064;-46.839227;758.0
05/07/2026 12:41:23;150;4095;28.8;45.9;-23.004065;-46.839225;758.2
05/07/2026 12:41:29;151;4095;28.7;46.0;-23.004067;-46.839222;758.5
05/07/2026 12:41:35;152;4095;28.6;46.0;-23.004069;-46.839218;758.6
05/07/2026 12:41:42;153;4095;28.5;46.3;-23.00407;-46.839215;759.3
05/07/2026 12:41:48;154;4095;28.4;46.5;-23.004071;-46.839213;759.7
05/07/2026 12:41:54;155;4095;28.4;46.7;-23.004073;-46.839211;760.6
05/07/2026 12:42:01;156;4095;28.4;46.9;-23.004074;-46.839209;761.0
05/07/2026 12:42:07;157;4095;28.4;46.9;-23.004073;-46.839211;761.2
05/07/2026 12:42:13;158;4095;28.4;47.0;-23.00407;-46.83921;761.5
05/07/2026 12:42:20;159;4095;28.3;47.1;-23.004066;-46.839211;761.0
05/07/2026 12:42:26;160;4095;28.3;47.2;-23.004047;-46.839297;759.7
05/07/2026 12:42:32;161;4095;28.4;47.3;-23.003961;-46.839564;757.7
05/07/2026 12:42:39;162;4095;28.6;47.4;-23.003878;-46.839772;752.9
05/07/2026 12:42:45;163;4095;28.7;47.4;-23.003835;-46.839891;750.2
05/07/2026 12:42:51;164;4095;28.8;47.4;-23.003827;-46.839938;751.1
05/07/2026 12:42:58;165;4095;28.9;47.2;-23.003829;-46.839947;751.8
05/07/2026 12:43:04;166;4095;28.9;46.8;-23.00383;-46.839954;752.7
05/07/2026 12:43:10;167;4095;28.9;46.5;-23.003837;-46.839962;753.7
05/07/2026 12:43:17;168;4095;28.8;46.5;-23.003844;-46.839969;754.2
05/07/2026 12:43:23;169;4095;28.8;46.3;-23.00385;-46.839976;754.1
05/07/2026 12:43:30;170;4095;28.7;46.2;-23.003855;-46.83998;753.7
05/07/2026 12:43:36;171;4095;28.6;46.3;-23.003859;-46.839982;753.4
05/07/2026 12:43:42;172;4095;28.4;46.5;-23.003864;-46.839986;752.5
05/07/2026 12:43:55;173;4095;28.4;46.5;-23.003864;-46.839986;752.5
05/07/2026 12:44:01;174;4095;28.2;46.9;-23.003861;-46.83999;754.6
05/07/2026 12:44:07;175;4095;28.2;47.1;-23.003858;-46.839993;755.6
05/07/2026 12:44:14;176;4095;28.1;47.1;-23.003857;-46.839994;755.8
05/07/2026 12:44:20;177;4095;28.0;47.3;-23.003855;-46.83999;755.9
05/07/2026 12:44:26;178;4095;28.0;47.6;-23.003856;-46.83999;755.2
05/07/2026 12:44:33;179;4095;27.9;47.6;-23.00386;-46.839991;754.9
05/07/2026 12:44:39;180;4095;27.8;47.6;-23.003864;-46.839993;755.2
05/07/2026 12:44:45;181;4095;27.7;47.7;-23.003865;-46.839993;755.1
05/07/2026 12:44:52;182;4095;27.6;47.9;-23.003862;-46.839994;754.7
05/07/2026 12:44:58;183;4095;27.5;48.3;-23.003859;-46.839992;754.3
05/07/2026 12:45:05;184;4095;27.5;48.6;-23.003855;-46.839991;753.4
05/07/2026 12:45:11;185;4095;27.5;48.8;-23.003853;-46.839991;753.0
05/07/2026 12:45:17;186;4095;27.6;48.8;-23.003852;-46.839991;752.4
05/07/2026 12:45:24;187;4095;27.6;48.7;-23.003852;-46.839991;752.1
05/07/2026 12:45:30;188;4095;27.7;48.7;-23.003853;-46.839992;752.1
05/07/2026 12:45:36;189;4095;27.7;48.6;-23.003851;-46.839991;752.4
05/07/2026 12:45:43;190;4095;27.6;48.6;-23.003852;-46.839991;752.6
05/07/2026 12:45:49;191;4095;27.5;48.6;-23.003857;-46.839993;753.5
05/07/2026 12:45:56;192;4095;27.5;48.6;-23.003859;-46.839993;754.3
05/07/2026 12:46:02;193;4095;27.4;48.7;-23.003859;-46.839994;755.2
05/07/2026 12:46:08;194;4095;27.4;48.7;-23.003863;-46.839996;755.5
05/07/2026 12:46:15;195;4095;27.3;48.9;-23.003867;-46.84;756.1
05/07/2026 12:46:21;196;4095;27.3;48.9;-23.003872;-46.840003;756.4
05/07/2026 12:46:27;197;4095;27.3;48.9;-23.003878;-46.840005;756.7
05/07/2026 12:46:34;198;4095;27.4;49.0;-23.003882;-46.840007;757.4
05/07/2026 12:46:40;199;4095;27.4;48.9;-23.003889;-46.840009;758.1
05/07/2026 12:46:48;200;4095;27.4;49.0;-23.003895;-46.840013;758.8
05/07/2026 12:46:54;201;4095;27.4;48.9;-23.003902;-46.840016;759.7
05/07/2026 12:47:01;202;4095;27.4;48.8;-23.003902;-46.840019;759.8
