Medida;Latitude;Longitude;Altitude;Distancia_3D_m;RSSI_DL_medido;RSSI_DL_previsto_shadowing
1;-23.005344;-46.835392;775.0;13.65;-48.5;-48.54
2;-23.005344;-46.835393;774.9;13.67;-48.5;-48.56
3;-23.005344;-46.835393;774.9;13.67;-48.5;-48.56
4;-23.005344;-46.835394;774.8;13.69;-48.5;-48.58
5;-23.005345;-46.835395;774.6;13.61;-48.5;-48.5
6;-23.005344;-46.835395;774.3;13.74;-48.5;-48.62
7;-23.005344;-46.835395;774.1;13.76;-47.5;-48.64
8;-23.005344;-46.835395;773.8;13.79;-48.5;-48.67
9;-23.005344;-46.835395;773.4;13.84;-48.5;-48.72
10;-23.005344;-46.835395;773.2;13.87;-48.5;-48.75
11;-23.005344;-46.835394;772.9;13.9;-48.5;-48.78
12;-23.005344;-46.835395;772.5;14.0;-48.5;-48.87
13;-23.005345;-46.835396;772.2;13.98;-48.5;-48.85
14;-23.005346;-46.835397;771.8;13.99;-48.5;-48.86
15;-23.005346;-46.835397;771.4;14.1;-48.5;-48.96
16;-23.005347;-46.835398;771.1;14.1;-48.5;-48.96
17;-23.005349;-46.835399;770.5;14.11;-48.5;-48.97
18;-23.00535;-46.8354;770.2;14.14;-48.5;-49.0
19;-23.005351;-46.835401;770.1;14.1;-48.5;-48.96
20;-23.005351;-46.835401;769.9;14.18;-48.5;-49.03
21;-23.005352;-46.835402;769.7;14.18;-48.5;-49.04
22;-23.005353;-46.835403;769.5;14.19;-48.5;-49.04
23;-23.005354;-46.835404;769.2;14.24;-48.5;-49.09
24;-23.005354;-46.835404;769.2;14.24;-48.5;-49.09
25;-23.005354;-46.835405;769.0;14.36;-48.5;-49.2
26;-23.005354;-46.835405;768.8;14.45;-48.5;-49.28
27;-23.005354;-46.835404;768.5;14.56;-48.5;-49.38
28;-23.005353;-46.835405;768.3;14.78;-48.5;-49.57
29;-23.005352;-46.835405;768.3;14.87;-48.5;-49.65
30;-23.005351;-46.835407;768.4;14.97;-48.5;-49.74
31;-23.005351;-46.835407;768.3;15.01;-48.5;-49.78
32;-23.005351;-46.835409;768.5;14.97;-48.5;-49.74
33;-23.005352;-46.835411;768.4;14.98;-48.5;-49.75
34;-23.005353;-46.835414;768.4;14.98;-48.5;-49.75
35;-23.005354;-46.835417;768.4;14.98;-48.5;-49.75
36;-23.005356;-46.835419;768.3;14.92;-48.5;-49.69
37;-23.005356;-46.835421;768.3;14.99;-48.5;-49.75
38;-23.005358;-46.835423;768.3;14.88;-48.5;-49.66
39;-23.005359;-46.835425;768.4;14.82;-48.5;-49.61
40;-23.005361;-46.835428;768.6;14.67;-48.5;-49.48
41;-23.005361;-46.835429;768.6;14.71;-48.5;-49.51
42;-23.005363;-46.835431;768.7;14.58;-48.5;-49.39
43;-23.005364;-46.835433;768.7;14.58;-47.5;-49.4
44;-23.005366;-46.835434;768.7;14.46;-48.5;-49.29
45;-23.005368;-46.835436;768.7;14.38;-46.5;-49.22
46;-23.005368;-46.835435;768.9;14.24;-44.0;-49.09
47;-23.005369;-46.835435;769.0;14.11;-46.5;-48.97
48;-23.005368;-46.835432;768.9;14.1;-47.5;-48.96
49;-23.00537;-46.835433;768.6;14.12;-48.5;-48.98
50;-23.005371;-46.835432;768.4;14.09;-48.5;-48.95
51;-23.005372;-46.835433;768.1;14.21;-48.5;-49.06
52;-23.005374;-46.835431;767.5;14.28;-48.5;-49.12
53;-23.005375;-46.835429;766.9;14.45;-48.5;-49.28
54;-23.005377;-46.835425;766.1;14.63;-49.5;-49.44
55;-23.005378;-46.835424;765.5;14.9;-49.5;-49.68
56;-23.005377;-46.835422;764.9;15.31;-48.5;-50.03
57;-23.005377;-46.83542;764.6;15.45;-48.5;-50.15
58;-23.005377;-46.835419;764.3;15.62;-48.5;-50.3
59;-23.005376;-46.835419;763.9;15.98;-48.5;-50.59
60;-23.005376;-46.835417;763.7;16.06;-49.5;-50.66
61;-23.005376;-46.835416;763.5;16.18;-48.5;-50.75
62;-23.005375;-46.835415;763.2;16.44;-48.5;-50.96
63;-23.005377;-46.835413;763.1;16.32;-49.5;-50.87
64;-23.005378;-46.835413;762.8;16.48;-49.5;-51.0
65;-23.005379;-46.835414;762.7;16.52;-48.5;-51.03
66;-23.005379;-46.835413;762.5;16.65;-48.5;-51.13
67;-23.005379;-46.835411;762.5;16.6;-48.5;-51.09
68;-23.005376;-46.83541;762.7;16.61;-48.5;-51.1
69;-23.005375;-46.835411;762.7;16.7;-60.0;-51.17
70;-23.005374;-46.83541;762.7;16.75;-59.0;-51.2
71;-23.005374;-46.835409;762.8;16.65;-59.0;-51.12
72;-23.005374;-46.835407;762.6;16.75;-59.0;-51.2
73;-23.005367;-46.835411;762.8;17.18;-45.5;-51.53
74;-23.005345;-46.835441;763.0;19.61;-54.0;-53.26
75;-23.005318;-46.83549;764.6;23.12;-54.0;-55.41
76;-23.005285;-46.835546;764.8;28.94;-57.0;-58.33
77;-23.00525;-46.835654;764.4;39.21;-61.5;-62.29
78;-23.005224;-46.835703;764.6;44.68;-74.0;-63.99
79;-23.005207;-46.835733;764.5;48.19;-68.5;-64.97
80;-23.005196;-46.835756;763.7;50.92;-74.0;-65.69
81;-23.005195;-46.835756;762.9;51.17;-74.0;-65.75
